Date & Time,Favorite,Spread,Underdog
9/15 8:25 ET,At Buffalo,PK,NY Jets
9/18 1:00 ET,At Detroit,-6,Tennessee
9/18 1:00 ET,At Houston,-1,Kansas City
9/18 1:00 ET,At New England,-5.5,Miami
9/18 1:00 ET,Baltimore,-4.5,At Cleveland
9/18 1:00 ET,At Pittsburgh,-3,Cincinnati
9/18 1:00 ET,At Washington,-3,Dallas
9/18 1:00 ET,At NY Giants,-4,New Orleans
9/18 1:00 ET,At Carolina,-12.5,San Francisco
9/18 4:05 ET,At Arizona,-7,Tampa Bay
9/18 4:05 ET,Seattle,-5.5,At Los Angeles
9/18 4:25 ET,At Denver,-6,Indianapolis
9/18 4:25 ET,At Oakland,-4,Atlanta
9/18 4:25 ET,At San Diego,-3,Jacksonville
9/18 8:30 ET,Green Bay,-2,At Minnesota
