Date & Time,Favorite,Spread,Underdog
11/3 8:25 ET,Atlanta,-4.5,At Tampa Bay
11/6 1:00 ET,At Kansas City,-7,Jacksonville
11/6 1:00 ET,At Minnesota,-5.5,Detroit
11/6 1:00 ET,At NY Giants,-3,Philadelphia
11/6 1:00 ET,Dallas,-7.5,At Cleveland
11/6 1:00 ET,At Miami,-4,NY Jets
11/6 1:00 ET,Pittsburgh,-3,At Baltimore
11/6 4:05 ET,New Orleans,-5,At San Francisco
11/6 4:05 ET,Carolina,-3,At Los Angeles
11/6 4:25 ET,At Green Bay,-7.5,Indianapolis
11/6 4:25 ET,At San Diego,-4,Tennessee
11/6 8:30 ET,At Oakland,-1,Denver
