Date & Time,Favorite,Spread,Underdog
12/12 8:30 ET,At New England,-6,Baltimore
12/15 8:25 ET,At Seattle,-15.5,Los Angeles
12/17 8:25 ET,Miami,-2.5,At NY Jets
12/18 8:30 ET,At Dallas,-7,Tampa Bay
12/18 1:00 ET,At NY Giants,-4,Detroit
12/18 1:00 ET,At Baltimore,-5,Philadelphia
12/18 1:00 ET,Green Bay,-4.5,At Chicago
12/18 1:00 ET,At Minnesota,-5,Indianapolis
12/18 1:00 ET,At Buffalo,-10.5,Cleveland
12/18 1:00 ET,At Kansas City,-6,Tennessee
12/18 1:00 ET,At Houston,-3.5,Jacksonville
12/18 4:05 ET,At Arizona,-3,New Orleans
12/18 4:05 ET,At Atlanta,-13.5,San Francisco
12/18 4:25 ET,New England,-3,At Denver
12/18 4:25 ET,Oakland,-2.5,At San Diego
12/18 1:00 ET,Pittsburgh,-3,At Cincinnati
