Date & Time,Favorite,Spread,Underdog
9/24 8:25 ET,At NY Giants,-3,Washington
9/27 1:00 ET,At St. Louis,-1,Pittsburgh
9/27 1:00 ET,At Minnesota,-2,San Diego
9/27 1:00 ET,At Houston,-6,Tampa Bay
9/27 1:00 ET,At NY Jets,-3,Philadelphia
9/27 1:00 ET,At Carolina,-9.5,New Orleans
9/27 1:00 ET,At New England,-14,Jacksonville
9/27 1:00 ET,At Baltimore,-1.5,Cincinnati
9/27 1:00 ET,At Cleveland,-3.5,Oakland
9/27 1:00 ET,Indianapolis,-3.5,At Tennessee
9/27 1:00 ET,At Dallas,PK,Atlanta
9/27 4:05 ET,At Arizona,-7,San Francisco
9/27 4:25 ET,At Seattle,-16,Chicago
9/27 4:25 ET,At Miami,-1,Buffalo
9/27 8:30 ET,Denver,-3,At Detroit
