Date & Time,Favorite,Spread,Underdog
9/29 8:25 ET,At Cincinnati,-7.5,Miami
10/2 9:30 AM,Indianapolis,-1,Jacksonville(At London)
10/2 1:00 ET,At Washington,-7.5,Cleveland
10/2 1:00 ET,At New England,-3.5,Buffalo
10/2 1:00 ET,Seattle,-1,At NY Jets
10/2 1:00 ET,Carolina,-3,At Atlanta
10/2 1:00 ET,Detroit,-3.5,At Chicago
10/2 1:00 ET,At Houston,-4,Tennessee
10/2 1:00 ET,At Baltimore,-3.5,Oakland
10/2 4:05 ET,Denver,-3.5,At Tampa Bay
10/2 4:25 ET,Dallas,-1.5,At San Francisco
10/2 4:25 ET,At San Diego,-4,New Orleans
10/2 4:25 ET,At Arizona,-9.5,Los Angeles
10/2 8:30 ET,At Pittsburgh,-3.5,Kansas City
