Date & Time,Favorite,Spread,Underdog
1/14 4:35 ET,At Atlanta,-6.5,Seattle
1/14 8:15 ET,At New England,-16.5,Houston
1/15 8:20 ET,At Kansas City,-2,Pittsburgh
1/15 4:40 ET,At Dallas,-5,Green Bay
