Date & Time,Favorite,Spread,Underdog
1/10 4:35 ET,At New England,-7,Baltimore
1/10 8:15 ET,At Seattle,-13.5,Carolina
1/11 1:05 ET,At Green Bay,-5.5,Dallas
1/11 4:40 ET,At Denver,-9.5,Indianapolis
