Date & Time,Favorite,Spread,Underdog
1/3 1:00 ET,NY Jets,-3,At Buffalo
1/3 4:25 ET,At Carolina,-10,Tampa Bay
1/3 1:00 ET,New England,-10,At Miami
1/3 1:00 ET,At Cincinnati,-9.5,Baltimore
1/3 1:00 ET,At Atlanta,-6,New Orleans
1/3 1:00 ET,At Houston,-6,Jacksonville
1/3 1:00 ET,Pittsburgh,-13,At Cleveland
1/3 4:25 ET,At Kansas City,-6.5,Oakland
1/3 1:00 ET,At Indianapolis,-4,Tennessee
1/3 1:00 ET,At Dallas,-3,Washington
1/3 1:00 ET,Detroit,-2.5,At Chicago
1/3 1:00 ET,At NY Giants,-3.5,Philadelphia
1/3 8:30 ET,At Green Bay,-3,Minnesota
1/3 4:25 ET,At Denver,-10,San Diego
1/3 4:25 ET,St. Louis,-3,At San Francisco
1/3 4:25 ET,At Arizona,-6,Seattle
