Date & Time,Favorite,Spread,Underdog
12/1 8:25 ET,Dallas,-3,At Minnesota
12/4 1:00 ET,Denver,-3.5,At Jacksonville
12/4 1:00 ET,At Atlanta,-5,Kansas City
12/4 1:00 ET,At Green Bay,-7,Houston
12/4 1:00 ET,At Cincinnati,-1.5,Philadelphia
12/4 1:00 ET,At New Orleans,-6.5,Detroit
12/4 1:00 ET,San Francisco,-1,At Chicago
12/4 1:00 ET,At New England,-13.5,Los Angeles
12/4 1:00 ET,At Baltimore,-3.5,Miami
12/4 4:05 ET,At Oakland,-3,Buffalo
12/4 4:25 ET,At San Diego,-3.5,Tampa Bay
12/4 4:25 ET,At Arizona,-2.5,Washington
12/4 4:25 ET,At Pittsburgh,-6.5,NY Giants
12/4 8:30 ET,At Seattle,-8.5,Carolina
