Date & Time,Favorite,Spread,Underdog
11/17 8:25 ET,At Carolina,-3.5,New Orleans
11/20 1:00 ET,At Indianapolis,-3,Tennessee
11/20 1:00 ET,At Detroit,-5.5,Jacksonville
11/20 1:00 ET,At Kansas City,-7,Tampa Bay
11/20 1:00 ET,At NY Giants,-7,Chicago
11/20 1:00 ET,At Minnesota,-2,Arizona
11/20 1:00 ET,At Cincinnati,-2.5,Buffalo
11/20 1:00 ET,At Dallas,-7,Baltimore
11/20 1:00 ET,Pittsburgh,-8.5,At Cleveland
11/20 4:05 ET,Miami,-1,At Los Angeles
11/20 4:25 ET,New England,-11.5,At San Francisco
11/20 4:25 ET,At Seattle,-6.5,Philadelphia
11/20 8:30 ET,At Washington,-3,Green Bay
