Date & Time,Favorite,Spread,Underdog
12/28 4:25 ET,At Green Bay,-8.5,Detroit
12/28 1:00 ET,At Houston,-8.5,Jacksonville
12/28 8:30 ET,At Pittsburgh,-3,Cincinnati
12/28 1:00 ET,Indianapolis,-7.5,At Tennessee
12/28 1:00 ET,At Baltimore,-14,Cleveland
12/28 1:00 ET,At New England,-4.5,Buffalo
12/28 1:00 ET,At Miami,-7,NY Jets
12/28 4:25 ET,At Atlanta,-3,Carolina
12/28 1:00 ET,At Minnesota,-7,Chicago
12/28 1:00 ET,At Kansas City,-3,San Diego
12/28 1:00 ET,At NY Giants,-1,Philadelphia
12/28 1:00 ET,Dallas,-6,At Washington
12/28 1:00 ET,New Orleans,-6,At Tampa Bay
12/28 4:25 ET,At Seattle,-11.5,St. Louis
12/28 4:25 ET,At San Francisco,-6.5,Arizona
12/28 4:25 ET,At Denver,-15.5,Oakland
