Date & Time,Favorite,Spread,Underdog
12/18 8:25 ET,At Jacksonville,-4.5,Tennessee
12/20 8:25 ET,At San Francisco,-1.5,San Diego
12/20 4:30 ET,Philadelphia,-7,At Washington
12/21 1:00 ET,At Miami,-4.5,Minnesota
12/21 1:00 ET,Green Bay,-11.5,At Tampa Bay
12/21 1:00 ET,Detroit,-10,At Chicago
12/21 1:00 ET,At New Orleans,-6,Atlanta
12/21 1:00 ET,New England,-9.5,At NY Jets
12/21 1:00 ET,At Pittsburgh,-2.5,Kansas City
12/21 1:00 ET,At Carolina,-6,Cleveland
12/21 1:00 ET,Baltimore,-6.5,At Houston
12/21 4:05 ET,At St. Louis,-6.5,NY Giants
12/21 4:25 ET,Buffalo,-6.5,At Oakland
12/21 4:25 ET,At Dallas,-3.5,Indianapolis
12/21 8:30 ET,Seattle,-9.5,At Arizona
