Date & Time,Favorite,Spread,Underdog
10/16 8:25 ET,At New England,-9.5,NY Jets
10/19 1:00 ET,At Indianapolis,-3.5,Cincinnati
10/19 1:00 ET,At Washington,-6,Tennessee
10/19 1:00 ET,At Chicago,-3,Miami
10/19 1:00 ET,Cleveland,-4.5,At Jacksonville
10/19 1:00 ET,Seattle,-6.5,At St. Louis
10/19 1:00 ET,At Green Bay,-6.5,Carolina
10/19 1:00 ET,At Baltimore,-7,Atlanta
10/19 1:00 ET,At Buffalo,-6.5,Minnesota
10/19 1:00 ET,At Detroit,-1.5,New Orleans
10/19 4:05 ET,At San Diego,-3,Kansas City
10/19 4:25 ET,At Dallas,-5.5,NY Giants
10/19 4:25 ET,Arizona,-3.5,At Oakland
10/19 8:30 ET,At Denver,-6.5,San Francisco
