Date & Time,Favorite,Spread,Underdog
9/25 8:25 ET,At Washington,-3,NY Giants
9/28 1:00 ET,Miami,-4,"Oakland
(At London)"
9/28 1:00 ET,Green Bay,-2,At Chicago
9/28 1:00 ET,At Houston,-3,Buffalo
9/28 1:00 ET,At Indianapolis,-7.5,Tennessee
9/28 1:00 ET,At Baltimore,-3,Carolina
9/28 1:00 ET,At NY Jets,-1.5,Detroit
9/28 1:00 ET,At Pittsburgh,-7.5,Tampa Bay
9/28 4:05 ET,At San Diego,-12,Jacksonville
9/28 4:25 ET,At San Francisco,-4,Philadelphia
9/28 4:25 ET,Atlanta,-6,At Minnesota
9/28 8:30 ET,New Orleans,-3,At Dallas
