Date & Time,Favorite,Spread,Underdog
1/3 4:35 ET,At Carolina,-5.5,Arizona
1/3 8:15 ET,At Pittsburgh,-3,Baltimore
1/4 1:00 ET,At Indianapolis,-4,Cincinnati
1/4 4:40 ET,At Dallas,-6.5,Detroit
