Date & Time,Favorite,Spread,Underdog
10/15 8:25 ET,Atlanta,-3,At New Orleans
10/18 1:00 ET,Denver,-3.5,At Cleveland
10/18 1:00 ET,Cincinnati,-3,At Buffalo
10/18 1:00 ET,At Minnesota,-3.5,Kansas City
10/18 1:00 ET,At Jacksonville,-3,Houston
10/18 1:00 ET,At Detroit,-3.5,Chicago
10/18 1:00 ET,At NY Jets,-7.5,Washington
10/18 1:00 ET,Arizona,-5.5,At Pittsburgh
10/18 1:00 ET,At Tennessee,-2.5,Miami
10/18 4:05 ET,At Seattle,-7,Carolina
10/18 4:25 ET,At Green Bay,-10.5,San Diego
10/18 4:25 ET,Baltimore,-2.5,At San Francisco
10/18 8:30 ET,New England,-9,At Indianapolis
