Date & Time,Favorite,Spread,Underdog
11/26 12:30 ET,At Detroit,-3,Philadelphia
11/26 4:30 ET,Carolina,-1,At Dallas
11/26 8:30 ET,At Green Bay,-8,Chicago
11/29 1:00 ET,At Houston,-3.5,New Orleans
11/29 1:00 ET,At Atlanta,-2,Minnesota
11/29 1:00 ET,At Cincinnati,-9.5,St. Louis
11/29 1:00 ET,At Indianapolis,-3,Tampa Bay
11/29 1:00 ET,NY Giants,-1.5,At Washington
11/29 1:00 ET,Oakland,-1,At Tennessee
11/29 1:00 ET,At Kansas City,-4.5,Buffalo
11/29 1:00 ET,At NY Jets,-4.5,Miami
11/29 1:00 ET,At Jacksonville,-5,San Diego
11/29 4:05 ET,Arizona,-8.5,At San Francisco
11/29 4:25 ET,At Seattle,-3,Pittsburgh
11/29 8:30 ET,New England,-2.5,At Denver
