Date & Time,Favorite,Spread,Underdog
10/2 8:25 ET,At Green Bay,-9.5,Minnesota
10/5 1:00 ET,At Carolina,-1.5,Chicago
10/5 1:00 ET,Cleveland,-1,At Tennessee
10/5 1:00 ET,At Philadelphia,-4,St. Louis
10/5 1:00 ET,At NY Giants,-4,Atlanta
10/5 1:00 ET,At New Orleans,-11,Tampa Bay
10/5 1:00 ET,At Dallas,-5.5,Houston
10/5 1:00 ET,At Detroit,-5,Buffalo
10/5 1:00 ET,At Indianapolis,-3,Baltimore
10/5 1:00 ET,Pittsburgh,-6,At Jacksonville
10/5 4:05 ET,At Denver,-8.5,Arizona
10/5 4:25 ET,At San Francisco,-5,Kansas City
10/5 4:25 ET,At San Diego,-7,NY Jets
10/5 8:30 ET,Cincinnati,-2.5,At New England
