Date & Time,Favorite,Spread,Underdog
10/1 8:25 ET,Baltimore,-3,At Pittsburgh
10/4 9:30 AM,NY Jets,-2.5,Miami (At London)
10/4 1:00 ET,At Indianapolis,-4,Jacksonville
10/4 1:00 ET,At Atlanta,-4.5,Houston
10/4 1:00 ET,Carolina,-3,At Tampa Bay
10/4 1:00 ET,At Buffalo,-6,NY Giants
10/4 1:00 ET,Oakland,-3,At Chicago
10/4 1:00 ET,Philadelphia,-3,At Washington
10/4 1:00 ET,At Cincinnati,-3.5,Kansas City
10/4 4:05 ET,At San Diego,-5,Cleveland
10/4 4:25 ET,Green Bay,-7.5,At San Francisco
10/4 4:25 ET,At Denver,-7,Minnesota
10/4 4:25 ET,At Arizona,-7,St. Louis
10/4 8:30 ET,At New Orleans,-3,Dallas
