Date & Time,Favorite,Spread,Underdog
11/27 12:30 ET,At Detroit,-7,Chicago
11/27 4:30 ET,At Dallas,-3.5,Philadelphia
11/27 8:30 ET,At San Francisco,-1.5,Seattle
11/30 1:00 ET,At Indianapolis,-8,Washington
11/30 1:00 ET,At Houston,-7,Tennessee
11/30 1:00 ET,At Buffalo,-3,Cleveland
11/30 1:00 ET,At Baltimore,-6.5,San Diego
11/30 1:00 ET,NY Giants,-3,At Jacksonville
11/30 1:00 ET,Cincinnati,-6,At Tampa Bay
11/30 1:00 ET,At St. Louis,-6,Oakland
11/30 1:00 ET,At Pittsburgh,-3.5,New Orleans
11/30 1:00 ET,At Minnesota,-2.5,Carolina
11/30 4:05 ET,Arizona,-1.5,At Atlanta
11/30 4:25 ET,At Green Bay,-3,New England
11/30 8:30 ET,At Kansas City,PK,Denver
