Date & Time,Favorite,Spread,Underdog
11/12 8:25 ET,At NY Jets,-2.5,Buffalo
11/15 1:00 ET,At Green Bay,-10.5,Detroit
11/15 1:00 ET,Dallas,-1,At Tampa Bay
11/15 1:00 ET,Carolina,-3.5,At Tennessee
11/15 1:00 ET,At St. Louis,-7,Chicago
11/15 1:00 ET,New Orleans,-1,At Washington
11/15 1:00 ET,At Philadelphia,-6,Miami
11/15 1:00 ET,At Pittsburgh,-7,Cleveland
11/15 1:00 ET,At Baltimore,-5,Jacksonville
11/15 4:05 ET,At Oakland,-3,Minnesota
11/15 4:25 ET,At Denver,-3.5,Kansas City
11/15 4:25 ET,New England,-7,At NY Giants
11/15 8:30 ET,At Seattle,-3,Arizona
