Date & Time,Favorite,Spread,Underdog
1/16 4:35 ET,At New England,-6,Kansas City
1/16 8:15 ET,At Arizona,-7,Green Bay
1/17 1:05 ET,At Carolina,-2.5,Seattle
1/17 4:40 ET,At Denver,-7,Pittsburgh
