Date & Time,Favorite,Spread,Underdog
12/17 8:25 ET,At St. Louis,-1,Tampa Bay
12/19 8:25 ET,NY Jets,-3.5,At Dallas
12/20 1:00 ET,At Minnesota,-4,Chicago
12/20 1:00 ET,At Jacksonville,-2,Atlanta
12/20 1:00 ET,At Indianapolis,-2,Houston
12/20 1:00 ET,Kansas City,-6.5,At Baltimore
12/20 1:00 ET,Buffalo,-2,At Washington
12/20 1:00 ET,At New England,-14.5,Tennessee
12/20 8:30 ET,Arizona,-4,At Philadelphia
12/20 1:00 ET,Carolina,-5,At NY Giants
12/20 4:05 ET,At Seattle,-14.5,Cleveland
12/20 4:05 ET,Green Bay,-4,At Oakland
12/20 4:25 ET,At San Diego,-1,Miami
12/20 4:25 ET,At Pittsburgh,-7.5,Denver
12/20 4:25 ET,Cincinnati,-6.5,At San Francisco
