Date & Time,Favorite,Spread,Underdog
11/5 8:25 ET,At Cincinnati,-13,Cleveland
11/8 1:00 ET,At Pittsburgh,-6,Oakland
11/8 1:00 ET,At NY Jets,-8,Jacksonville
11/8 1:00 ET,At Minnesota,-1,St. Louis
11/8 1:00 ET,At Buffalo,-4,Miami
11/8 1:00 ET,At New Orleans,-6.5,Tennessee
11/8 1:00 ET,At New England,-13.5,Washington
11/8 1:00 ET,Green Bay,-2.5,At Carolina
11/8 4:05 ET,Atlanta,-8.5,At San Francisco
11/8 4:05 ET,NY Giants,-2,At Tampa Bay
11/8 4:25 ET,Denver,-3.5,At Indianapolis
11/8 8:30 ET,Philadelphia,-3,At Dallas
