Date & Time,Favorite,Spread,Underdog
11/24 12:30 ET,At Detroit,-1.5,Minnesota
11/24 4:30 ET,At Dallas,-6,Washington
11/24 8:30 ET,Pittsburgh,-8,At Indianapolis
11/27 1:00 ET,San Diego,-2.5,At Houston
11/27 1:00 ET,Tennessee,-6,At Chicago
11/27 1:00 ET,At Buffalo,-8.5,Jacksonville
11/27 1:00 ET,At Baltimore,-3.5,Cincinnati
11/27 1:00 ET,At Atlanta,-4,Arizona
11/27 1:00 ET,At Miami,-7,San Francisco
11/27 1:00 ET,At New Orleans,-8,Los Angeles
11/27 1:00 ET,NY Giants,-6.5,At Cleveland
11/27 4:05 ET,Seattle,-5.5,At Tampa Bay
11/27 4:25 ET,At Oakland,-3.5,Carolina
11/27 8:30 ET,At Denver,-3.5,Kansas City
11/27 4:25 ET,New England,-9.5,At NY Jets
