Date & Time,Favorite,Spread,Underdog
1/9 4:35 ET,Kansas City,-3,At Houston
1/9 8:15 ET,Pittsburgh,-2,At Cincinnati
1/10 1:05 ET,Seattle,-5,At Minnesota
1/10 4:40 ET,At Washington,-1.5,Green Bay
