Date & Time,Favorite,Spread,Underdog
11/19 8:25 ET,At Jacksonville,-3,Tennessee
11/22 1:00 ET,At Carolina,-7,Washington
11/22 1:00 ET,Oakland,-1.5,At Detroit
11/22 1:00 ET,Dallas,-2.5,At Miami
11/22 1:00 ET,At Atlanta,-3.5,Indianapolis
11/22 1:00 ET,At Baltimore,-3,St. Louis
11/22 1:00 ET,NY Jets,-4,At Houston
11/22 4:25 ET,At Minnesota,PK,Green Bay
11/22 1:00 ET,At Philadelphia,-6.5,Tampa Bay
11/22 1:00 ET,Denver,-2,At Chicago
11/22 8:30 ET,At Arizona,-4,Cincinnati
11/22 4:25 ET,At Seattle,-14,San Francisco
11/22 4:05 ET,Kansas City,-3,At San Diego
