Date & Time,Favorite,Spread,Underdog
9/11 8:25 ET,At Baltimore,-2.5,Pittsburgh
9/14 1:00 ET,At Carolina,-1.5,Detroit
9/14 1:00 ET,At Buffalo,-1,Miami
9/14 1:00 ET,At Washington,-5,Jacksonville
9/14 1:00 ET,At Tennessee,-3.5,Dallas
9/14 1:00 ET,At NY Giants,-2,Arizona
9/14 1:00 ET,New England,-3,At Minnesota
9/14 1:00 ET,New Orleans,-6,At Cleveland
9/14 1:00 ET,At Cincinnati,-5.5,Atlanta
9/14 4:05 ET,At Tampa Bay,-4.5,St. Louis
9/14 4:05 ET,Seattle,-5,At San Diego
9/14 4:25 ET,Houston,-3,At Oakland
9/14 4:25 ET,At Green Bay,-7.5,NY Jets
9/14 4:25 ET,At Denver,-13,Kansas City
9/14 8:30 ET,At San Francisco,-7,Chicago
