Date & Time,Favorite,Spread,Underdog
1/7 4:35 ET,At Houston,-4,Oakland
1/7 8:15 ET,At Seattle,-8.5,Detroit
1/8 1:05 ET,At Pittsburgh,-11.5,Miami
1/8 4:40 ET,At Green Bay,-5,NY Giants
