Date & Time,Favorite,Spread,Underdog
10/20 8:25 ET,At Green Bay,-7.5,Chicago
10/23 9:30 ET,NY Giants,-3,"Los Angeles
(at London)"
10/23 1:00 ET,Minnesota,-3,At Philadelphia
10/23 1:00 ET,At Kansas City,-6.5,New Orleans
10/23 1:00 ET,Washington,-1,At Detroit
10/23 1:00 ET,At Cincinnati,-11.5,Cleveland
10/23 1:00 ET,Buffalo,-2.5,At Miami
10/23 1:00 ET,At Jacksonville,-2,Oakland
10/23 1:00 ET,At Tennessee,-4,Indianapolis
10/23 1:00 ET,At NY Jets,-2,Baltimore
10/23 4:05 ET,At Atlanta,-5,San Diego
10/23 4:05 ET,At San Francisco,-1,Tampa Bay
10/23 4:25 ET,New England,-7.5,At Pittsburgh
10/23 8:30 ET,At Arizona,-2.5,Seattle
