Date & Time,Favorite,Spread,Underdog
12/3 8:25 ET,Green Bay,-2.5,At Detroit
12/6 1:00 ET,At Chicago,-6.5,San Francisco
12/6 1:00 ET,Cincinnati,-7.5,At Cleveland
12/6 1:00 ET,At Tennessee,-3,Jacksonville
12/6 1:00 ET,At Buffalo,-3,Houston
12/6 1:00 ET,At Miami,-3.5,Baltimore
12/6 4:25 ET,Carolina,-6,At New Orleans
12/6 1:00 ET,Seattle,-2.5,At Minnesota
12/6 1:00 ET,Arizona,-3.5,At St. Louis
12/6 1:00 ET,At Tampa Bay,PK,Atlanta
12/6 1:00 ET,NY Jets,-2.5,At NY Giants
12/6 4:05 ET,Denver,-6,At San Diego
12/6 4:05 ET,Kansas City,-3,At Oakland
12/6 4:25 ET,At New England,-9.5,Philadelphia
12/6 8:30 ET,At Pittsburgh,-9.5,Indianapolis
