Date & Time,Favorite,Spread,Underdog
12/11 8:25 ET,At St. Louis,-6,Arizona
12/14 1:00 ET,At Kansas City,-11,Oakland
12/14 1:00 ET,At Baltimore,-14,Jacksonville
12/14 1:00 ET,Pittsburgh,-3,At Atlanta
12/14 1:00 ET,At Indianapolis,-7,Houston
12/14 1:00 ET,At Cleveland,-2,Cincinnati
12/14 1:00 ET,At New England,-9,Miami
12/14 1:00 ET,At Carolina,-3.5,Tampa Bay
12/14 1:00 ET,At NY Giants,-7,Washington
12/14 1:00 ET,Green Bay,-3.5,At Buffalo
12/14 4:25 ET,At Detroit,-8,Minnesota
12/14 4:05 ET,NY Jets,-3,At Tennessee
12/14 4:05 ET,Denver,-4,At San Diego
12/14 4:25 ET,At Seattle,-9.5,San Francisco
12/14 8:30 ET,At Philadelphia,-3.5,Dallas
