Date & Time,Favorite,Spread,Underdog
9/8 8:30 ET,Carolina,-3,At Denver
9/11 1:00 ET,At Atlanta,-2.5,Tampa Bay
9/11 1:00 ET,Minnesota,-2.5,At Tennessee
9/11 1:00 ET,At Philadelphia,-3.5,Cleveland
9/11 1:00 ET,Cincinnati,-1,At NY Jets
9/11 1:00 ET,At New Orleans,-3,Oakland
9/11 1:00 ET,At Kansas City,-6.5,San Diego
9/11 1:00 ET,At Baltimore,-3,Buffalo
9/11 1:00 ET,At Houston,-5.5,Chicago
9/11 1:00 ET,Green Bay,-3.5,At Jacksonville
9/11 4:05 ET,At Seattle,-10.5,Miami
9/11 4:25 ET,NY Giants,-1,At Dallas
9/11 4:25 ET,At Indianapolis,-2.5,Detroit
9/11 8:30 ET,At Arizona,-8.5,New England
