Date & Time,Favorite,Spread,Underdog
12/22 8:25 ET,At Philadelphia,-1,NY Giants
12/24 1:00 ET,Washington,-3,At Chicago
12/24 1:00 ET,At Buffalo,-4.5,Miami
12/24 4:25 ET,At New Orleans,-3,Tampa Bay
12/24 1:00 ET,Atlanta,-3,At Carolina
12/24 1:00 ET,At Green Bay,-6.5,Minnesota
12/24 1:00 ET,At New England,-17,NY Jets
12/24 1:00 ET,Tennessee,-4.5,At Jacksonville
12/24 1:00 ET,San Diego,-4.5,At Cleveland
12/24 4:05 ET,At Oakland,-3.5,Indianapolis
12/24 4:25 ET,At Los Angeles,-6,San Francisco
12/24 4:25 ET,At Seattle,-9,Arizona
12/24 8:25 ET,At Houston,-3,Cincinnati
12/25 4:30 ET,At Pittsburgh,-5.5,Baltimore
12/25 8:30 ET,At Kansas City,-3.5,Denver
