Date & Time,Favorite,Spread,Underdog
10/8 8:25 ET,At Houston,-5,Indianapolis
10/11 1:00 ET,At Tampa Bay,-1,Jacksonville
10/11 1:00 ET,Buffalo,-1,At Tennessee
10/11 1:00 ET,At Baltimore,-6.5,Cleveland
10/11 1:00 ET,At Atlanta,-7,Washington
10/11 1:00 ET,At Kansas City,-9.5,Chicago
10/11 1:00 ET,At Philadelphia,-6.5,New Orleans
10/11 1:00 ET,At Green Bay,-9,St. Louis
10/11 1:00 ET,At Cincinnati,-3,Seattle
10/11 4:05 ET,Arizona,-4.5,At Detroit
10/11 4:25 ET,New England,-8.5,At Dallas
10/11 4:25 ET,Denver,-5.5,At Oakland
10/11 8:30 ET,At NY Giants,-7.5,San Francisco
