Date & Time,Favorite,Spread,Underdog
9/21 8:25 ET,LA Rams,-3,At San Francisco
9/24 9:30 ET,Baltimore,-3,"At Jacksonville 
(London)"
9/24 1:00 ET,Cleveland,-1,At Indianapolis
9/24 1:00 ET,Pittsburgh,-7,At Chicago
9/24 1:00 ET,Miami,-5.5,At NY Jets
9/24 1:00 ET,Denver,-3.5,At Buffalo
9/24 1:00 ET,At New England,-13.5,Houston
9/24 1:00 ET,At Carolina,-5,New Orleans
9/24 1:00 ET,Tampa Bay,-1,At Minnesota
9/24 1:00 ET,Atlanta,-3,At Detroit
9/24 1:00 ET,At Philadelphia,-5.5,NY Giants
9/24 4:05 ET,At Tennessee,-2,Seattle
9/24 4:25 ET,Kansas City,-3,At LA Chargers
9/24 4:25 ET,At Green Bay,-7,Cincinnati
9/24 8:30 ET,Oakland,-3.5,At Washington
