Date & Time,Favorite,Spread,Underdog
9/17 8:25 ET,At Kansas City,-3,Denver
9/20 1:00 ET,At Carolina,-3,Houston
9/20 1:00 ET,At New Orleans,-9,Tampa Bay
9/20 1:00 ET,At Pittsburgh,-6,San Francisco
9/20 1:00 ET,At Minnesota,-2.5,Detroit
9/20 1:00 ET,At Buffalo,-1,New England
9/20 1:00 ET,Arizona,-2,At Chicago
9/20 1:00 ET,Tennessee,-1,At Cleveland
9/20 1:00 ET,At Cincinnati,-3.5,San Diego
9/20 1:00 ET,St. Louis,-3,At Washington
9/20 1:00 ET,At NY Giants,-2,Atlanta
9/20 4:05 ET,Baltimore,-6,At Oakland
9/20 4:05 ET,Miami,-6,At Jacksonville
9/20 4:25 ET,At Philadelphia,-6.5,Dallas
9/20 8:30 ET,At Green Bay,-3,Seattle
