Date & Time,Favorite,Spread,Underdog
9/10 8:30 ET,At New England,-7,Pittsburgh
9/13 1:00 ET,Green Bay,-6.5,At Chicago
9/13 1:00 ET,Kansas City,-1,At Houston
9/13 1:00 ET,At NY Jets,-3.5,Cleveland
9/13 1:00 ET,Indianapolis,-1,At Buffalo
9/13 1:00 ET,Miami,-4,At Washington
9/13 1:00 ET,Carolina,-3,At Jacksonville
9/13 1:00 ET,Seattle,-3.5,At St. Louis
9/13 4:05 ET,At Arizona,-2.5,New Orleans
9/13 4:05 ET,At San Diego,-3.5,Detroit
9/13 4:25 ET,At Tampa Bay,-3,Tennessee
9/13 4:25 ET,Cincinnati,-3,At Oakland
9/13 4:25 ET,At Denver,-4.5,Baltimore
9/13 8:30 ET,At Dallas,-7,NY Giants
