qtr,lefttime,score,yrdln,cover,eid,season,week,team,prob
2,1937.0,17,62.0,1.0,2014090400,2014,1,SEA,0.593887135681
2,1920.0,17,62.0,1.0,2014090400,2014,1,SEA,0.592715409855
2,1920.0,17,51.0,1.0,2014090400,2014,1,SEA,0.584845786358
2,1893.0,17,45.0,1.0,2014090400,2014,1,SEA,0.578655424869
2,1887.0,17,45.0,1.0,2014090400,2014,1,SEA,0.578237501793
2,1881.0,17,45.0,1.0,2014090400,2014,1,SEA,0.577819466623
2,1866.0,17,18.0,1.0,2014090400,2014,1,SEA,0.557188914155
2,1843.0,17,22.0,1.0,2014090400,2014,1,SEA,0.558483796717
2,1835.0,17,27.0,1.0,2014090400,2014,1,SEA,0.561561138185
2,1827.0,17,34.0,1.0,2014090400,2014,1,SEA,0.566085960217
2,1827.0,17,34.0,1.0,2014090400,2014,1,SEA,0.566085960217
2,1819.0,17,34.0,1.0,2014090400,2014,1,SEA,0.565524562427
2,1814.0,17,41.0,1.0,2014090400,2014,1,SEA,0.570249817365
2,1814.0,17,41.0,1.0,2014090400,2014,1,SEA,0.570249817365
2,1810.0,17,41.0,1.0,2014090400,2014,1,SEA,0.569969786918
2,1800.0,17,41.0,1.0,2014090400,2014,1,SEA,0.569269515273
3,1800.0,17,65.0,1.0,2014090400,2014,1,SEA,0.586566488892
3,1795.0,17,14.0,1.0,2014090400,2014,1,SEA,0.54925487567
3,1757.0,17,28.0,1.0,2014090400,2014,1,SEA,0.55679747585
3,1728.0,17,37.0,1.0,2014090400,2014,1,SEA,0.561311201639
3,1685.0,17,41.0,1.0,2014090400,2014,1,SEA,0.561197149971
3,1680.0,17,41.0,1.0,2014090400,2014,1,SEA,0.560845409767
3,1674.0,17,41.0,1.0,2014090400,2014,1,SEA,0.56042324085
3,1633.0,17,47.0,1.0,2014090400,2014,1,SEA,0.561905216313
3,1626.0,17,86.0,1.0,2014090400,2014,1,SEA,0.589558358976
3,1614.0,17,92.0,1.0,2014090400,2014,1,SEA,0.59301459226
3,1610.0,17,92.0,1.0,2014090400,2014,1,SEA,0.592738801607
3,1570.0,17,97.0,1.0,2014090400,2014,1,SEA,0.593546923204
3,1532.0,20,98.0,1.0,2014090400,2014,1,SEA,0.624693838856
3,1528.0,20,35.0,1.0,2014090400,2014,1,SEA,0.579864570399
3,1528.0,20,80.0,1.0,2014090400,2014,1,SEA,0.611872144102
3,1503.0,20,78.0,1.0,2014090400,2014,1,SEA,0.608768246184
3,1466.0,20,76.0,1.0,2014090400,2014,1,SEA,0.604836552166
3,1447.0,20,67.0,1.0,2014090400,2014,1,SEA,0.597157994671
3,1403.0,20,69.0,1.0,2014090400,2014,1,SEA,0.595555161498
3,1397.0,20,69.0,1.0,2014090400,2014,1,SEA,0.595142272997
3,1364.0,20,46.0,1.0,2014090400,2014,1,SEA,0.576366596867
3,1339.0,20,41.0,1.0,2014090400,2014,1,SEA,0.571006717629
3,1335.0,20,41.0,1.0,2014090400,2014,1,SEA,0.570726809112
3,1326.0,20,41.0,1.0,2014090400,2014,1,SEA,0.570096849791
3,1321.0,20,45.0,1.0,2014090400,2014,1,SEA,0.572641768473
3,1283.0,20,61.0,1.0,2014090400,2014,1,SEA,0.581531069006
3,1246.0,20,62.0,1.0,2014090400,2014,1,SEA,0.579677035891
3,1241.0,20,62.0,1.0,2014090400,2014,1,SEA,0.579329005001
3,1202.0,20,63.0,1.0,2014090400,2014,1,SEA,0.577332903665
3,1193.0,22,90.0,1.0,2014090400,2014,1,SEA,0.618116249168
3,1182.0,22,90.0,1.0,2014090400,2014,1,SEA,0.617374283001
3,1179.0,22,47.0,1.0,2014090400,2014,1,SEA,0.586738823028
3,1143.0,22,56.0,1.0,2014090400,2014,1,SEA,0.590688163731
3,1103.0,22,61.0,1.0,2014090400,2014,1,SEA,0.591497550078
3,1066.0,22,65.0,1.0,2014090400,2014,1,SEA,0.591799725249
3,1021.0,22,74.0,1.0,2014090400,2014,1,SEA,0.595114729199
3,1014.0,22,74.0,1.0,2014090400,2014,1,SEA,0.594632845318
3,968.0,22,74.0,1.0,2014090400,2014,1,SEA,0.591461681995
3,928.0,22,84.0,1.0,2014090400,2014,1,SEA,0.595833524766
3,900.0,22,84.0,1.0,2014090400,2014,1,SEA,0.59390598579
4,900.0,28,97.0,1.0,2014090400,2014,1,SEA,0.667320985018
4,895.0,28,35.0,1.0,2014090400,2014,1,SEA,0.625148727265
4,895.0,29,98.0,1.0,2014090400,2014,1,SEA,0.677843041412
4,889.0,29,82.0,1.0,2014090400,2014,1,SEA,0.667052603707
4,861.0,29,67.0,1.0,2014090400,2014,1,SEA,0.655332510591
4,821.0,29,55.0,1.0,2014090400,2014,1,SEA,0.644666829731
4,783.0,29,52.0,1.0,2014090400,2014,1,SEA,0.640136921179
4,752.0,29,39.0,1.0,2014090400,2014,1,SEA,0.629177420367
4,730.0,29,49.0,1.0,2014090400,2014,1,SEA,0.634588920956
4,698.0,29,37.0,1.0,2014090400,2014,1,SEA,0.624186175895
4,658.0,29,31.0,1.0,2014090400,2014,1,SEA,0.617322614939
4,629.0,29,20.0,1.0,2014090400,2014,1,SEA,0.60764211168
4,612.0,29,8.0,1.0,2014090400,2014,1,SEA,0.597989918191
4,577.0,29,3.0,1.0,2014090400,2014,1,SEA,0.592020546996
4,571.0,29,2.0,1.0,2014090400,2014,1,SEA,0.59089240046
4,571.0,29,65.0,1.0,2014090400,2014,1,SEA,0.635020300291
4,571.0,29,20.0,1.0,2014090400,2014,1,SEA,0.603685233192
4,530.0,29,21.0,1.0,2014090400,2014,1,SEA,0.601588331125
4,484.0,29,24.0,1.0,2014090400,2014,1,SEA,0.600563253759
4,480.0,29,29.0,1.0,2014090400,2014,1,SEA,0.603828860796
4,437.0,29,31.0,1.0,2014090400,2014,1,SEA,0.602303314229
4,392.0,29,45.0,1.0,2014090400,2014,1,SEA,0.609113222411
4,350.0,29,49.0,1.0,2014090400,2014,1,SEA,0.609070957192
4,305.0,29,56.0,1.0,2014090400,2014,1,SEA,0.610933775576
4,265.0,29,61.0,1.0,2014090400,2014,1,SEA,0.611729442922
4,258.0,29,54.0,1.0,2014090400,2014,1,SEA,0.606328180321
4,249.0,29,76.0,1.0,2014090400,2014,1,SEA,0.621128533942
4,207.0,29,78.0,1.0,2014090400,2014,1,SEA,0.619694961352
4,163.0,29,84.0,1.0,2014090400,2014,1,SEA,0.620910521571
4,157.0,35,85.0,1.0,2014090400,2014,1,SEA,0.683996304349
4,157.0,35,85.0,1.0,2014090400,2014,1,SEA,0.683996304349
4,151.0,35,35.0,1.0,2014090400,2014,1,SEA,0.650841256088
4,151.0,36,98.0,1.0,2014090400,2014,1,SEA,0.701647555517
4,147.0,36,76.0,1.0,2014090400,2014,1,SEA,0.687617659503
4,144.0,36,76.0,1.0,2014090400,2014,1,SEA,0.687433559508
4,120.0,36,76.0,1.0,2014090400,2014,1,SEA,0.685958633457
4,120.0,36,69.0,1.0,2014090400,2014,1,SEA,0.681485770049
4,111.0,36,79.0,1.0,2014090400,2014,1,SEA,0.687312875827
4,101.0,36,79.0,1.0,2014090400,2014,1,SEA,0.686698653161
4,93.0,36,22.0,1.0,2014090400,2014,1,SEA,0.648856101819
4,53.0,36,21.0,1.0,2014090400,2014,1,SEA,0.645572585597
4,21.0,36,20.0,1.0,2014090400,2014,1,SEA,0.642800158499
4,0.0,36,20.0,1.0,2014090400,2014,1,SEA,0.641421658968
1,3600.0,0,65.0,-1.0,2014090400,2014,1,GB,0.519385768713
1,3596.0,0,13.0,-1.0,2014090400,2014,1,GB,0.480705565928
1,3570.0,0,19.0,-1.0,2014090400,2014,1,GB,0.483277884442
1,3551.0,0,24.0,-1.0,2014090400,2014,1,GB,0.485612437514
1,3512.0,0,39.0,-1.0,2014090400,2014,1,GB,0.493904633507
1,3486.0,0,41.0,-1.0,2014090400,2014,1,GB,0.493525446165
1,3450.0,0,39.0,-1.0,2014090400,2014,1,GB,0.489478361031
1,3417.0,0,39.0,-1.0,2014090400,2014,1,GB,0.487123070271
1,3413.0,0,65.0,-1.0,2014090400,2014,1,GB,0.506041213657
1,3380.0,0,61.0,-1.0,2014090400,2014,1,GB,0.500730009161
1,3344.0,0,56.0,-1.0,2014090400,2014,1,GB,0.494465774527
1,3310.0,0,52.0,-1.0,2014090400,2014,1,GB,0.489084373492
1,3270.0,0,44.0,-1.0,2014090400,2014,1,GB,0.480326508674
1,3231.0,0,44.0,-1.0,2014090400,2014,1,GB,0.477546403112
1,3224.0,0,44.0,-1.0,2014090400,2014,1,GB,0.477047552025
1,3217.0,0,39.0,-1.0,2014090400,2014,1,GB,0.472864574881
1,3178.0,0,26.0,-1.0,2014090400,2014,1,GB,0.46053164899
1,3147.0,0,26.0,-1.0,2014090400,2014,1,GB,0.458332463933
1,3106.0,0,21.0,-1.0,2014090400,2014,1,GB,0.451764561424
1,3067.0,0,17.0,-1.0,2014090400,2014,1,GB,0.446084553154
1,3067.0,0,17.0,-1.0,2014090400,2014,1,GB,0.446084553154
1,3063.0,0,20.0,-1.0,2014090400,2014,1,GB,0.447993428856
1,3063.0,0,65.0,-1.0,2014090400,2014,1,GB,0.48105649253
1,3043.0,0,31.0,-1.0,2014090400,2014,1,GB,0.454627590273
1,2995.0,0,26.0,-1.0,2014090400,2014,1,GB,0.447574423891
1,2991.0,0,26.0,-1.0,2014090400,2014,1,GB,0.447291934468
1,2984.0,0,26.0,-1.0,2014090400,2014,1,GB,0.446797659952
1,2972.0,0,66.0,-1.0,2014090400,2014,1,GB,0.475307788989
1,2935.0,0,66.0,-1.0,2014090400,2014,1,GB,0.472672713077
1,2899.0,0,68.0,-1.0,2014090400,2014,1,GB,0.471582747042
1,2859.0,0,76.0,-1.0,2014090400,2014,1,GB,0.474627261222
1,2827.0,0,92.0,-1.0,2014090400,2014,1,GB,0.484145242418
1,2790.0,0,92.0,-1.0,2014090400,2014,1,GB,0.481506133912
1,2790.0,6,98.0,-1.0,2014090400,2014,1,GB,0.555091199803
1,2785.0,6,80.0,-1.0,2014090400,2014,1,GB,0.541565462839
1,2785.0,6,35.0,-1.0,2014090400,2014,1,GB,0.508418048652
1,2785.0,7,98.0,-1.0,2014090400,2014,1,GB,0.566133250156
1,2759.0,7,90.0,-1.0,2014090400,2014,1,GB,0.558487498932
1,2720.0,7,80.0,-1.0,2014090400,2014,1,GB,0.548431808163
1,2700.0,7,80.0,-1.0,2014090400,2014,1,GB,0.547016587385
2,2700.0,7,71.0,-1.0,2014090400,2014,1,GB,0.540418961416
2,2662.0,7,64.0,-1.0,2014090400,2014,1,GB,0.532576398134
2,2619.0,7,66.0,-1.0,2014090400,2014,1,GB,0.530989591427
2,2588.0,7,33.0,-1.0,2014090400,2014,1,GB,0.50443745671
2,2580.0,7,2.0,-1.0,2014090400,2014,1,GB,0.480974896469
2,2580.0,7,65.0,-1.0,2014090400,2014,1,GB,0.527477868405
2,2574.0,7,16.0,-1.0,2014090400,2014,1,GB,0.490880442483
2,2544.0,7,17.0,-1.0,2014090400,2014,1,GB,0.489477362795
2,2497.0,7,21.0,-1.0,2014090400,2014,1,GB,0.489076111279
2,2474.0,7,32.0,-1.0,2014090400,2014,1,GB,0.495558030749
2,2438.0,7,35.0,-1.0,2014090400,2014,1,GB,0.49520342514
2,2396.0,7,38.0,-1.0,2014090400,2014,1,GB,0.494420403659
2,2373.0,7,44.0,-1.0,2014090400,2014,1,GB,0.497210101379
2,2338.0,7,46.0,-1.0,2014090400,2014,1,GB,0.496188193899
2,2301.0,7,49.0,-1.0,2014090400,2014,1,GB,0.495762173962
2,2293.0,7,93.0,-1.0,2014090400,2014,1,GB,0.527666530128
2,2259.0,7,93.0,-1.0,2014090400,2014,1,GB,0.525245335488
2,2220.0,7,95.0,-1.0,2014090400,2014,1,GB,0.52394090061
2,2215.0,10,95.0,-1.0,2014090400,2014,1,GB,0.558032309809
2,2212.0,10,35.0,-1.0,2014090400,2014,1,GB,0.513753625749
2,2203.0,10,70.0,-1.0,2014090400,2014,1,GB,0.538891159103
2,2171.0,10,46.0,-1.0,2014090400,2014,1,GB,0.518946151597
2,2169.0,10,46.0,-1.0,2014090400,2014,1,GB,0.518803531773
2,2147.0,10,41.0,-1.0,2014090400,2014,1,GB,0.51354439174
2,2103.0,10,20.0,-1.0,2014090400,2014,1,GB,0.49489247869
2,2064.0,10,11.0,-1.0,2014090400,2014,1,GB,0.485462790474
2,2026.0,10,9.0,-1.0,2014090400,2014,1,GB,0.481276351573
2,2021.0,10,2.0,-1.0,2014090400,2014,1,GB,0.475758457608
2,2021.0,10,20.0,-1.0,2014090400,2014,1,GB,0.489038300216
2,2021.0,10,65.0,-1.0,2014090400,2014,1,GB,0.522264577428
2,1984.0,10,38.0,-1.0,2014090400,2014,1,GB,0.49969141838
2,1937.0,10,38.0,-1.0,2014090400,2014,1,GB,0.496335135156
2,1937.0,10,38.0,-1.0,2014090400,2014,1,GB,0.496335135156
2,1920.0,10,38.0,-1.0,2014090400,2014,1,GB,0.495121225858
2,1920.0,10,49.0,-1.0,2014090400,2014,1,GB,0.503247035123
2,1893.0,10,55.0,-1.0,2014090400,2014,1,GB,0.505751080807
2,1887.0,10,55.0,-1.0,2014090400,2014,1,GB,0.505322663314
2,1881.0,10,55.0,-1.0,2014090400,2014,1,GB,0.504894238004
2,1866.0,10,82.0,-1.0,2014090400,2014,1,GB,0.523750991042
2,1843.0,10,78.0,-1.0,2014090400,2014,1,GB,0.519162108576
2,1835.0,10,73.0,-1.0,2014090400,2014,1,GB,0.514902149198
2,1827.0,10,66.0,-1.0,2014090400,2014,1,GB,0.509163147495
2,1827.0,10,66.0,-1.0,2014090400,2014,1,GB,0.509163147495
2,1819.0,10,66.0,-1.0,2014090400,2014,1,GB,0.508592034239
2,1814.0,10,59.0,-1.0,2014090400,2014,1,GB,0.503064686227
2,1814.0,10,59.0,-1.0,2014090400,2014,1,GB,0.503064686227
2,1810.0,10,59.0,-1.0,2014090400,2014,1,GB,0.502779049281
2,1800.0,10,59.0,-1.0,2014090400,2014,1,GB,0.502064949389
3,1800.0,10,35.0,-1.0,2014090400,2014,1,GB,0.484340608235
3,1795.0,10,86.0,-1.0,2014090400,2014,1,GB,0.521640036065
3,1757.0,10,72.0,-1.0,2014090400,2014,1,GB,0.508596877793
3,1728.0,10,63.0,-1.0,2014090400,2014,1,GB,0.499878233028
3,1685.0,10,59.0,-1.0,2014090400,2014,1,GB,0.493852928006
3,1680.0,10,59.0,-1.0,2014090400,2014,1,GB,0.493495926784
3,1674.0,10,59.0,-1.0,2014090400,2014,1,GB,0.493067534105
3,1633.0,10,53.0,-1.0,2014090400,2014,1,GB,0.485710734192
3,1626.0,10,14.0,-1.0,2014090400,2014,1,GB,0.456506762216
3,1614.0,10,8.0,-1.0,2014090400,2014,1,GB,0.451262496846
3,1610.0,10,8.0,-1.0,2014090400,2014,1,GB,0.450979579961
3,1570.0,10,3.0,-1.0,2014090400,2014,1,GB,0.444501123005
3,1532.0,10,2.0,-1.0,2014090400,2014,1,GB,0.441093951513
3,1528.0,10,65.0,-1.0,2014090400,2014,1,GB,0.487076233204
3,1528.0,10,20.0,-1.0,2014090400,2014,1,GB,0.453961361299
3,1503.0,10,22.0,-1.0,2014090400,2014,1,GB,0.453656152934
3,1466.0,10,24.0,-1.0,2014090400,2014,1,GB,0.452501635176
3,1447.0,10,33.0,-1.0,2014090400,2014,1,GB,0.457750693554
3,1403.0,10,31.0,-1.0,2014090400,2014,1,GB,0.453167815478
3,1397.0,10,31.0,-1.0,2014090400,2014,1,GB,0.452743138581
3,1364.0,10,54.0,-1.0,2014090400,2014,1,GB,0.467282644811
3,1339.0,10,59.0,-1.0,2014090400,2014,1,GB,0.469183288151
3,1335.0,10,59.0,-1.0,2014090400,2014,1,GB,0.468898736573
3,1326.0,10,59.0,-1.0,2014090400,2014,1,GB,0.468258569743
3,1321.0,10,55.0,-1.0,2014090400,2014,1,GB,0.46496138092
3,1283.0,10,39.0,-1.0,2014090400,2014,1,GB,0.450532909615
3,1246.0,10,38.0,-1.0,2014090400,2014,1,GB,0.447187331283
3,1241.0,10,38.0,-1.0,2014090400,2014,1,GB,0.446834283186
3,1202.0,10,37.0,-1.0,2014090400,2014,1,GB,0.443353007265
3,1193.0,10,10.0,-1.0,2014090400,2014,1,GB,0.423134650162
3,1182.0,10,10.0,-1.0,2014090400,2014,1,GB,0.422367872033
3,1179.0,10,53.0,-1.0,2014090400,2014,1,GB,0.453421387305
3,1143.0,10,44.0,-1.0,2014090400,2014,1,GB,0.444298725559
3,1103.0,10,39.0,-1.0,2014090400,2014,1,GB,0.437839703743
3,1066.0,10,35.0,-1.0,2014090400,2014,1,GB,0.432336954262
3,1021.0,10,26.0,-1.0,2014090400,2014,1,GB,0.422682502662
3,1014.0,10,26.0,-1.0,2014090400,2014,1,GB,0.42219464967
3,968.0,10,26.0,-1.0,2014090400,2014,1,GB,0.418992575951
3,928.0,10,16.0,-1.0,2014090400,2014,1,GB,0.409052099469
3,900.0,10,16.0,-1.0,2014090400,2014,1,GB,0.407120144652
4,900.0,10,3.0,-1.0,2014090400,2014,1,GB,0.397882158141
4,895.0,10,65.0,-1.0,2014090400,2014,1,GB,0.442130259853
4,895.0,10,2.0,-1.0,2014090400,2014,1,GB,0.396832550762
4,889.0,10,18.0,-1.0,2014090400,2014,1,GB,0.407788367747
4,861.0,10,33.0,-1.0,2014090400,2014,1,GB,0.416589399845
4,821.0,10,45.0,-1.0,2014090400,2014,1,GB,0.422441914972
4,783.0,10,48.0,-1.0,2014090400,2014,1,GB,0.421956500179
4,752.0,10,61.0,-1.0,2014090400,2014,1,GB,0.429182310714
4,730.0,10,51.0,-1.0,2014090400,2014,1,GB,0.420426836731
4,698.0,10,63.0,-1.0,2014090400,2014,1,GB,0.426852843325
4,658.0,10,69.0,-1.0,2014090400,2014,1,GB,0.42839572401
4,629.0,10,80.0,-1.0,2014090400,2014,1,GB,0.434336626306
4,612.0,10,92.0,-1.0,2014090400,2014,1,GB,0.441869965859
4,577.0,16,97.0,-1.0,2014090400,2014,1,GB,0.512183452536
4,571.0,16,98.0,-1.0,2014090400,2014,1,GB,0.512493521692
4,571.0,16,35.0,-1.0,2014090400,2014,1,GB,0.466008759255
4,571.0,16,80.0,-1.0,2014090400,2014,1,GB,0.499199016597
4,530.0,16,79.0,-1.0,2014090400,2014,1,GB,0.495532527886
4,484.0,16,76.0,-1.0,2014090400,2014,1,GB,0.490032608024
4,480.0,16,71.0,-1.0,2014090400,2014,1,GB,0.486055616794
4,437.0,16,69.0,-1.0,2014090400,2014,1,GB,0.481512273734
4,392.0,16,55.0,-1.0,2014090400,2014,1,GB,0.467991953201
4,350.0,16,51.0,-1.0,2014090400,2014,1,GB,0.462066947691
4,305.0,16,44.0,-1.0,2014090400,2014,1,GB,0.45374195573
4,265.0,16,39.0,-1.0,2014090400,2014,1,GB,0.447256143408
4,258.0,16,46.0,-1.0,2014090400,2014,1,GB,0.451879801251
4,249.0,16,24.0,-1.0,2014090400,2014,1,GB,0.435202140084
4,207.0,16,22.0,-1.0,2014090400,2014,1,GB,0.430805799223
4,163.0,16,16.0,-1.0,2014090400,2014,1,GB,0.423392486706
4,157.0,16,15.0,-1.0,2014090400,2014,1,GB,0.42225309787
4,157.0,16,15.0,-1.0,2014090400,2014,1,GB,0.42225309787
4,151.0,16,65.0,-1.0,2014090400,2014,1,GB,0.458222818581
4,151.0,16,2.0,-1.0,2014090400,2014,1,GB,0.412495468361
4,147.0,16,24.0,-1.0,2014090400,2014,1,GB,0.428054484067
4,144.0,16,24.0,-1.0,2014090400,2014,1,GB,0.42784469764
4,120.0,16,24.0,-1.0,2014090400,2014,1,GB,0.426167346184
4,120.0,16,31.0,-1.0,2014090400,2014,1,GB,0.431233243243
4,111.0,16,21.0,-1.0,2014090400,2014,1,GB,0.423373184432
4,101.0,16,21.0,-1.0,2014090400,2014,1,GB,0.422675992968
4,93.0,16,78.0,-1.0,2014090400,2014,1,GB,0.463651016544
4,53.0,16,79.0,-1.0,2014090400,2014,1,GB,0.46154513088
4,21.0,16,80.0,-1.0,2014090400,2014,1,GB,0.460008203263
4,0.0,16,80.0,-1.0,2014090400,2014,1,GB,0.458518513674
1,3698.0,0,20.0,-1.0,2014090700,2014,1,NO,0.493151496739
1,3698.0,0,65.0,-1.0,2014090700,2014,1,NO,0.526369347082
1,3676.0,0,25.0,-1.0,2014090700,2014,1,NO,0.495273793085
1,3636.0,0,57.0,-1.0,2014090700,2014,1,NO,0.516050969244
1,3604.0,0,63.0,-1.0,2014090700,2014,1,NO,0.518195642935
1,3572.0,0,65.0,-1.0,2014090700,2014,1,NO,0.517388948549
1,3538.0,0,82.0,-1.0,2014090700,2014,1,NO,0.527498570727
1,3508.0,0,83.0,-1.0,2014090700,2014,1,NO,0.526098981687
1,3482.0,0,73.0,-1.0,2014090700,2014,1,NO,0.516872330082
1,3476.0,0,73.0,-1.0,2014090700,2014,1,NO,0.516444335649
1,3436.0,3,87.0,-1.0,2014090700,2014,1,NO,0.558361619326
1,3431.0,3,80.0,-1.0,2014090700,2014,1,NO,0.552901957769
1,3431.0,3,35.0,-1.0,2014090700,2014,1,NO,0.519847495891
1,3394.0,3,79.0,-1.0,2014090700,2014,1,NO,0.549556503138
1,3355.0,3,76.0,-1.0,2014090700,2014,1,NO,0.544599643575
1,3330.0,3,81.0,-1.0,2014090700,2014,1,NO,0.546492155158
1,3325.0,3,81.0,-1.0,2014090700,2014,1,NO,0.546138160484
1,3316.0,3,39.0,-1.0,2014090700,2014,1,NO,0.514596351534
1,3278.0,3,41.0,-1.0,2014090700,2014,1,NO,0.513361130988
1,3245.0,3,42.0,-1.0,2014090700,2014,1,NO,0.511744294928
1,3205.0,3,50.0,-1.0,2014090700,2014,1,NO,0.514795492959
1,3198.0,3,50.0,-1.0,2014090700,2014,1,NO,0.51429603432
1,3163.0,3,54.0,-1.0,2014090700,2014,1,NO,0.514751153907
1,3126.0,3,67.0,-1.0,2014090700,2014,1,NO,0.52170302436
1,3095.0,3,67.0,-1.0,2014090700,2014,1,NO,0.519493023009
1,3089.0,3,67.0,-1.0,2014090700,2014,1,NO,0.519065189996
1,3082.0,6,67.0,-1.0,2014090700,2014,1,NO,0.55306680153
