qtr,lefttime,score,yrdln,cover,eid,season,week,team
3,1795.0,17,14.0,1.0,2014090400,2014,1,SEA
3,1757.0,17,28.0,1.0,2014090400,2014,1,SEA
3,1728.0,17,37.0,1.0,2014090400,2014,1,SEA
3,1685.0,17,41.0,1.0,2014090400,2014,1,SEA
3,1680.0,17,41.0,1.0,2014090400,2014,1,SEA
3,1674.0,17,41.0,1.0,2014090400,2014,1,SEA
3,1633.0,17,47.0,1.0,2014090400,2014,1,SEA
3,1626.0,17,86.0,1.0,2014090400,2014,1,SEA
3,1614.0,17,92.0,1.0,2014090400,2014,1,SEA
3,1610.0,17,92.0,1.0,2014090400,2014,1,SEA
3,1570.0,17,97.0,1.0,2014090400,2014,1,SEA
3,1532.0,20,98.0,1.0,2014090400,2014,1,SEA
3,1528.0,20,35.0,1.0,2014090400,2014,1,SEA
3,1528.0,20,80.0,1.0,2014090400,2014,1,SEA
3,1503.0,20,78.0,1.0,2014090400,2014,1,SEA
3,1466.0,20,76.0,1.0,2014090400,2014,1,SEA
3,1447.0,20,67.0,1.0,2014090400,2014,1,SEA
3,1403.0,20,69.0,1.0,2014090400,2014,1,SEA
3,1397.0,20,69.0,1.0,2014090400,2014,1,SEA
3,1364.0,20,46.0,1.0,2014090400,2014,1,SEA
3,1339.0,20,41.0,1.0,2014090400,2014,1,SEA
3,1335.0,20,41.0,1.0,2014090400,2014,1,SEA
3,1326.0,20,41.0,1.0,2014090400,2014,1,SEA
3,1321.0,20,45.0,1.0,2014090400,2014,1,SEA
3,1283.0,20,61.0,1.0,2014090400,2014,1,SEA
3,1246.0,20,62.0,1.0,2014090400,2014,1,SEA
3,1241.0,20,62.0,1.0,2014090400,2014,1,SEA
3,1202.0,20,63.0,1.0,2014090400,2014,1,SEA
3,1193.0,22,90.0,1.0,2014090400,2014,1,SEA
3,1182.0,22,90.0,1.0,2014090400,2014,1,SEA
3,1179.0,22,47.0,1.0,2014090400,2014,1,SEA
3,1143.0,22,56.0,1.0,2014090400,2014,1,SEA
3,1103.0,22,61.0,1.0,2014090400,2014,1,SEA
3,1066.0,22,65.0,1.0,2014090400,2014,1,SEA
3,1021.0,22,74.0,1.0,2014090400,2014,1,SEA
3,1014.0,22,74.0,1.0,2014090400,2014,1,SEA
3,968.0,22,74.0,1.0,2014090400,2014,1,SEA
3,928.0,22,84.0,1.0,2014090400,2014,1,SEA
3,900.0,22,84.0,1.0,2014090400,2014,1,SEA
4,900.0,28,97.0,1.0,2014090400,2014,1,SEA
4,895.0,28,35.0,1.0,2014090400,2014,1,SEA
4,895.0,29,98.0,1.0,2014090400,2014,1,SEA
4,889.0,29,82.0,1.0,2014090400,2014,1,SEA
4,861.0,29,67.0,1.0,2014090400,2014,1,SEA
4,821.0,29,55.0,1.0,2014090400,2014,1,SEA
4,783.0,29,52.0,1.0,2014090400,2014,1,SEA
4,752.0,29,39.0,1.0,2014090400,2014,1,SEA
4,730.0,29,49.0,1.0,2014090400,2014,1,SEA
4,698.0,29,37.0,1.0,2014090400,2014,1,SEA
4,658.0,29,31.0,1.0,2014090400,2014,1,SEA
4,629.0,29,20.0,1.0,2014090400,2014,1,SEA
4,612.0,29,8.0,1.0,2014090400,2014,1,SEA
4,577.0,29,3.0,1.0,2014090400,2014,1,SEA
4,571.0,29,2.0,1.0,2014090400,2014,1,SEA
4,571.0,29,65.0,1.0,2014090400,2014,1,SEA
4,571.0,29,20.0,1.0,2014090400,2014,1,SEA
4,530.0,29,21.0,1.0,2014090400,2014,1,SEA
4,484.0,29,24.0,1.0,2014090400,2014,1,SEA
4,480.0,29,29.0,1.0,2014090400,2014,1,SEA
4,437.0,29,31.0,1.0,2014090400,2014,1,SEA
4,392.0,29,45.0,1.0,2014090400,2014,1,SEA
4,350.0,29,49.0,1.0,2014090400,2014,1,SEA
4,305.0,29,56.0,1.0,2014090400,2014,1,SEA
4,265.0,29,61.0,1.0,2014090400,2014,1,SEA
4,258.0,29,54.0,1.0,2014090400,2014,1,SEA
4,249.0,29,76.0,1.0,2014090400,2014,1,SEA
4,207.0,29,78.0,1.0,2014090400,2014,1,SEA
4,163.0,29,84.0,1.0,2014090400,2014,1,SEA
4,157.0,35,85.0,1.0,2014090400,2014,1,SEA
4,157.0,35,85.0,1.0,2014090400,2014,1,SEA
4,151.0,35,35.0,1.0,2014090400,2014,1,SEA
4,151.0,36,98.0,1.0,2014090400,2014,1,SEA
4,147.0,36,76.0,1.0,2014090400,2014,1,SEA
4,144.0,36,76.0,1.0,2014090400,2014,1,SEA
4,120.0,36,76.0,1.0,2014090400,2014,1,SEA
4,120.0,36,69.0,1.0,2014090400,2014,1,SEA
4,111.0,36,79.0,1.0,2014090400,2014,1,SEA
4,101.0,36,79.0,1.0,2014090400,2014,1,SEA
4,93.0,36,22.0,1.0,2014090400,2014,1,SEA
4,53.0,36,21.0,1.0,2014090400,2014,1,SEA
4,21.0,36,20.0,1.0,2014090400,2014,1,SEA
4,0.0,36,20.0,1.0,2014090400,2014,1,SEA
1,3600.0,0,65.0,-1.0,2014090400,2014,1,GB
1,3596.0,0,13.0,-1.0,2014090400,2014,1,GB
1,3570.0,0,19.0,-1.0,2014090400,2014,1,GB
1,3551.0,0,24.0,-1.0,2014090400,2014,1,GB
1,3512.0,0,39.0,-1.0,2014090400,2014,1,GB
1,3486.0,0,41.0,-1.0,2014090400,2014,1,GB
1,3450.0,0,39.0,-1.0,2014090400,2014,1,GB
1,3417.0,0,39.0,-1.0,2014090400,2014,1,GB
1,3413.0,0,65.0,-1.0,2014090400,2014,1,GB
1,3380.0,0,61.0,-1.0,2014090400,2014,1,GB
1,3344.0,0,56.0,-1.0,2014090400,2014,1,GB
1,3310.0,0,52.0,-1.0,2014090400,2014,1,GB
1,3270.0,0,44.0,-1.0,2014090400,2014,1,GB
1,3231.0,0,44.0,-1.0,2014090400,2014,1,GB
1,3224.0,0,44.0,-1.0,2014090400,2014,1,GB
1,3217.0,0,39.0,-1.0,2014090400,2014,1,GB
1,3178.0,0,26.0,-1.0,2014090400,2014,1,GB
1,3147.0,0,26.0,-1.0,2014090400,2014,1,GB
1,3106.0,0,21.0,-1.0,2014090400,2014,1,GB
1,3067.0,0,17.0,-1.0,2014090400,2014,1,GB
1,3067.0,0,17.0,-1.0,2014090400,2014,1,GB
1,3063.0,0,20.0,-1.0,2014090400,2014,1,GB
1,3063.0,0,65.0,-1.0,2014090400,2014,1,GB
1,3043.0,0,31.0,-1.0,2014090400,2014,1,GB
1,2995.0,0,26.0,-1.0,2014090400,2014,1,GB
1,2991.0,0,26.0,-1.0,2014090400,2014,1,GB
1,2984.0,0,26.0,-1.0,2014090400,2014,1,GB
1,2972.0,0,66.0,-1.0,2014090400,2014,1,GB
1,2935.0,0,66.0,-1.0,2014090400,2014,1,GB
1,2899.0,0,68.0,-1.0,2014090400,2014,1,GB
1,2859.0,0,76.0,-1.0,2014090400,2014,1,GB
1,2827.0,0,92.0,-1.0,2014090400,2014,1,GB
1,2790.0,0,92.0,-1.0,2014090400,2014,1,GB
1,2790.0,6,98.0,-1.0,2014090400,2014,1,GB
1,2785.0,6,80.0,-1.0,2014090400,2014,1,GB
1,2785.0,6,35.0,-1.0,2014090400,2014,1,GB
1,2785.0,7,98.0,-1.0,2014090400,2014,1,GB
1,2759.0,7,90.0,-1.0,2014090400,2014,1,GB
1,2720.0,7,80.0,-1.0,2014090400,2014,1,GB
1,2700.0,7,80.0,-1.0,2014090400,2014,1,GB
2,2700.0,7,71.0,-1.0,2014090400,2014,1,GB
2,2662.0,7,64.0,-1.0,2014090400,2014,1,GB
2,2619.0,7,66.0,-1.0,2014090400,2014,1,GB
2,2588.0,7,33.0,-1.0,2014090400,2014,1,GB
2,2580.0,7,2.0,-1.0,2014090400,2014,1,GB
2,2580.0,7,65.0,-1.0,2014090400,2014,1,GB
2,2574.0,7,16.0,-1.0,2014090400,2014,1,GB
2,2544.0,7,17.0,-1.0,2014090400,2014,1,GB
2,2497.0,7,21.0,-1.0,2014090400,2014,1,GB
2,2474.0,7,32.0,-1.0,2014090400,2014,1,GB
2,2438.0,7,35.0,-1.0,2014090400,2014,1,GB
2,2396.0,7,38.0,-1.0,2014090400,2014,1,GB
2,2373.0,7,44.0,-1.0,2014090400,2014,1,GB
2,2338.0,7,46.0,-1.0,2014090400,2014,1,GB
2,2301.0,7,49.0,-1.0,2014090400,2014,1,GB
2,2293.0,7,93.0,-1.0,2014090400,2014,1,GB
2,2259.0,7,93.0,-1.0,2014090400,2014,1,GB
2,2220.0,7,95.0,-1.0,2014090400,2014,1,GB
2,2215.0,10,95.0,-1.0,2014090400,2014,1,GB
2,2212.0,10,35.0,-1.0,2014090400,2014,1,GB
2,2203.0,10,70.0,-1.0,2014090400,2014,1,GB
2,2171.0,10,46.0,-1.0,2014090400,2014,1,GB
2,2169.0,10,46.0,-1.0,2014090400,2014,1,GB
2,2147.0,10,41.0,-1.0,2014090400,2014,1,GB
2,2103.0,10,20.0,-1.0,2014090400,2014,1,GB
2,2064.0,10,11.0,-1.0,2014090400,2014,1,GB
2,2026.0,10,9.0,-1.0,2014090400,2014,1,GB
2,2021.0,10,2.0,-1.0,2014090400,2014,1,GB
