Date & Time,Favorite,Spread,Underdog
12/4 8:25 ET,Dallas,-3.5,At Chicago
12/7 1:00 ET,At Miami,-3,Baltimore
12/7 1:00 ET,At Cincinnati,-3,Pittsburgh
12/7 1:00 ET,Indianapolis,-3,At Cleveland
12/7 1:00 ET,Houston,-6.5,At Jacksonville
12/7 1:00 ET,NY Giants,-3,At Tennessee
12/7 1:00 ET,At New Orleans,-9.5,Carolina
12/7 1:00 ET,At Detroit,-10.5,Tampa Bay
12/7 1:00 ET,St. Louis,-3,At Washington
12/7 1:00 ET,At Minnesota,-4,NY Jets
12/7 4:05 ET,At Denver,-9,Buffalo
12/7 4:05 ET,Kansas City,-2.5,At Arizona
12/7 4:25 ET,San Francisco,-8.5,At Oakland
12/7 4:25 ET,Seattle,-1.5,At Philadelphia
12/7 8:30 ET,New England,-4,At San Diego
