Date & Time,Favorite,Spread,Underdog
10/5 8:25 ET,New England,-4,At Tampa Bay
10/8 1:00 ET,At NY Giants,-3,LA Chargers
10/8 1:00 ET,At Cincinnati,-3,Buffalo
10/8 1:00 ET,NY Jets,-1.5,At Cleveland
10/8 1:00 ET,At Pittsburgh,-7.5,Jacksonville
10/8 1:00 ET,At Miami,-1,Tennessee
10/8 1:00 ET,At Indianapolis,-1.5,San Francisco
10/8 1:00 ET,At Philadelphia,-6.5,Arizona
10/8 1:00 ET,At Detroit,-2,Carolina
10/8 4:05 ET,At LA Rams,-2,Seattle
10/8 4:05 ET,At Oakland,-3,Baltimore
10/8 4:25 ET,At Dallas,-2.5,Green Bay
10/8 8:30 ET,Kansas City,-2,At Houston
