Date & Time,Favorite,Spread,Underdog
10/12 8:25 ET,At Carolina,-3,Philadelphia
10/15 1:00 ET,At Houston,-7.5,Cleveland
10/15 1:00 ET,New England,-9.5,At NY Jets
10/15 1:00 ET,At Atlanta,-13.5,Miami
10/15 1:00 ET,At New Orleans,-5.5,Detroit
10/15 1:00 ET,Green Bay,-3,At Minnesota
10/15 1:00 ET,At Baltimore,-5.5,Chicago
10/15 1:00 ET,At Washington,-11,San Francisco
10/15 4:05 ET,At Jacksonville,-1,LA Rams
10/15 4:05 ET,Tampa Bay,-2.5,At Arizona
10/15 4:25 ET,At Kansas City,-3.5,Pittsburgh
10/15 4:25 ET,At Oakland,-3,LA Chargers
10/15 8:30 ET,At Denver,-13.5,NY Giants
