Date & Time,Favorite,Spread,Underdog
1/1 1:00 ET,At Tennessee,-3,Houston
1/1 1:00 ET,Buffalo,-4,At NY Jets
1/1 1:00 ET,Baltimore,-2.5,At Cincinnati
1/1 4:25 ET,At Washington,-9,NY Giants
1/1 8:25 ET,Green Bay,-3.5,At Detroit
1/1 1:00 ET,At Indianapolis,-5.5,Jacksonville
1/1 1:00 ET,At Philadelphia,-6.5,Dallas
1/1 1:00 ET,At Minnesota,-6.5,Chicago
1/1 1:00 ET,At Tampa Bay,-3.5,Carolina
1/1 1:00 ET,At Pittsburgh,-3.5,Cleveland
1/1 4:25 ET,At Atlanta,-7.5,New Orleans
1/1 1:00 ET,New England,-8,At Miami
1/1 4:25 ET,Arizona,-7,At Los Angeles
1/1 4:25 ET,Kansas City,-6,At San Diego
1/1 4:25 ET,Seattle,-11.5,At San Francisco
1/1 4:25 ET,At Denver,-1,Oakland
