Date & Time,Favorite,Spread,Underdog
12/24 8:25 ET,At Oakland,-4,San Diego
12/26 8:25 ET,At Philadelphia,-3.5,Washington
12/27 8:30 ET,At Minnesota,-7,NY Giants
12/27 1:00 ET,At Tampa Bay,-3,Chicago
12/27 1:00 ET,Carolina,-7,At Atlanta
12/27 1:00 ET,At Buffalo,-6.5,Dallas
12/27 4:05 ET,At New Orleans,-2.5,Jacksonville
12/27 1:00 ET,At Detroit,-9,San Francisco
12/27 1:00 ET,At Kansas City,-11.5,Cleveland
12/27 1:00 ET,At Miami,-2.5,Indianapolis
12/27 1:00 ET,New England,-2.5,At NY Jets
12/27 1:00 ET,Houston,-3.5,At Tennessee
12/27 4:25 ET,At Arizona,-6,Green Bay
12/27 4:25 ET,At Seattle,-11,St. Louis
12/27 1:00 ET,Pittsburgh,-11.5,At Baltimore
