Date & Time,Favorite,Spread,Underdog
9/4 8:35 ET,At Seattle,-5,Green Bay
9/7 1:00 ET,New Orleans,-3,At Atlanta
9/7 1:00 ET,At St. Louis,-3,Minnesota
9/7 1:00 ET,At Pittsburgh,-6,Cleveland
9/7 1:00 ET,At Philadelphia,-10,Jacksonville
9/7 1:00 ET,At NY Jets,-6.5,Oakland
9/7 1:00 ET,At Baltimore,-1,Cincinnati
9/7 1:00 ET,At Chicago,-7,Buffalo
9/7 1:00 ET,At Houston,-3,Washington
9/7 1:00 ET,At Kansas City,-3,Tennessee
9/7 1:00 ET,New England,-4,At Miami
9/7 4:25 ET,At Tampa Bay,-4.5,Carolina
9/7 4:25 ET,San Francisco,-3.5,At Dallas
9/7 8:30 ET,At Denver,-8.5,Indianapolis
