Date & Time,Favorite,Spread,Underdog
9/28 8:25 ET,At Green Bay,-7.5,Chicago
10/1 9:30 AM,New Orleans,-4,At Miami(London)
10/1 1:00 ET,At New England,-9.5,Carolina
10/1 1:00 ET,At Dallas,-5.5,LA Rams
10/1 1:00 ET,At Minnesota,-2.5,Detroit
10/1 1:00 ET,Tennessee,-2.5,At Houston
10/1 1;00 ET,Jacksonville,-4,At NY Jets
10/1 1:00 ET,Cincinnati,-3,At Cleveland
10/1 1:00 ET,Pittsburgh,-3.5,At Baltimore
10/1 1:00 ET,At Atlanta,-8.5,Buffalo
10/1 4:05 ET,At Tampa Bay,-2.5,NY Giants
10/1 4:05 ET,At LA Chargers,-2,Philadelphia
10/1 4:05 ET,At Arizona,-6.5,San Francisco
10/1 4:25 ET,At Denver,-3.5,Oakland
10/1 8:30 ET,At Seattle,-12.5,Indianapolis
