Date & Time,Favorite,Spread,Underdog
9/22 8:25 ET,At New England,-1,Houston
9/25 1:00 ET,At Cincinnati,-3.5,Denver
9/25 1:00 ET,Oakland,-1.5,At Tennessee
9/25 1:00 ET,Arizona,-5,At Buffalo
9/25 1:00 ET,Baltimore,-2,At Jacksonville
9/25 1:00 ET,At Miami,-10,Cleveland
9/25 1:00 ET,At NY Giants,-3.5,Washington
9/25 1:00 ET,At Green Bay,-6.5,Detroit
9/25 1:00 ET,At Carolina,-6.5,Minnesota
9/25 4:05 ET,At Seattle,-10.5,San Francisco
9/25 4:05 ET,At Tampa Bay,-3.5,Los Angeles
9/25 4:25 ET,Pittsburgh,-4,At Philadelphia
9/25 4:25 ET,At Kansas City,-3,NY Jets
9/25 4:25 ET,At Indianapolis,-1.5,San Diego
9/25 8:30 ET,At Dallas,-6.5,Chicago
