Date & Time,Favorite,Spread,Underdog
11/13 8:25 ET,At Miami,-4,Buffalo
11/16 1:00 ET,At Cleveland,-4,Houston
11/16 1:00 ET,At Chicago,-2.5,Minnesota
11/16 4:25 ET,At Green Bay,-5.5,Philadelphia
11/16 1:00 ET,Seattle,-1,At Kansas City
11/16 1:00 ET,Atlanta,-2.5,At Carolina
11/16 1:00 ET,At New Orleans,-8,Cincinnati
11/16 1:00 ET,At Washington,-7,Tampa Bay
11/16 1:00 ET,Denver,-9,At St. Louis
11/16 1:00 ET,San Francisco,-4,At NY Giants
11/16 4:05 ET,At San Diego,-10,Oakland
11/16 4:25 ET,Detroit,-1.5,At Arizona
11/16 8:30 ET,At Indianapolis,-3,New England
