Date & Time,Favorite,Spread,Underdog
10/6 8:25 ET,Arizona,-3.5,At San Francisco
10/9 1:00 ET,At Minnesota,-6,Houston
10/9 1:00 ET,At Miami,-2.5,Tennessee
10/9 1:00 ET,New England,-10,At Cleveland
10/9 1:00 ET,At Pittsburgh,-9.5,NY Jets
10/9 1:00 ET,At Baltimore,-4,Washington
10/9 1:00 ET,Philadelphia,-3.5,At Detroit
10/9 1:00 ET,At Indianapolis,-4,Chicago
10/9 4:05 ET,At Denver,-4,Atlanta
10/9 4:25 ET,Buffalo,-2.5,At Los Angeles
10/9 4:25 ET,At Oakland,-3.5,San Diego
10/9 4:25 ET,Cincinnati,-2.5,At Dallas
10/9 8:30 ET,At Green Bay,-7,NY Giants
