Date & Time,Favorite,Spread,Underdog
12/8 8:25 ET,At Kansas City,-3.5,Oakland
12/11 1:00 ET,At Tennessee,-2,Denver
12/11 1:00 ET,At Carolina,-1,San Diego
12/11 1:00 ET,At Indianapolis,-6.5,Houston
12/11 1:00 ET,Cincinnati,-5,At Cleveland
12/11 1:00 ET,Pittsburgh,-2,At Buffalo
12/11 1:00 ET,Arizona,-2,At Miami
12/11 1:00 ET,At Detroit,-7.5,Chicago
12/11 1:00 ET,Minnesota,-3.5,At Jacksonville
12/11 4:25 ET,At Tampa Bay,-2,New Orleans
12/11 1:00 ET,Washington,-2.5,At Philadelphia
12/11 4:05 ET,At San Francisco,-3,NY Jets
12/11 4:25 ET,Seattle,-3,At Green Bay
12/11 4:25 ET,Atlanta,-5,At Los Angeles
12/11 8:30 ET,Dallas,-3.5,At NY Giants
