Date & Time,Favorite,Spread,Underdog
9/7 8:30 ET,At New England,-9,Kansas City
9/10 1:00 ET,At Buffalo,-7.5,NY Jets
9/10 1:00 ET,Atlanta,-7,At Chicago
9/10 1:00 ET,At Houston,-5.5,Jacksonville
9/10 1:00 ET,Philadelphia,-1,At Washington
9/10 1:00 ET,Arizona,-2,At Detroit
9/10 1:00 ET,At Tennessee,-2.5,Oakland
"9/10 1:00 ET 
Postponed",Tampa Bay,-2.5,At Miami
9/10 1:00 ET,At Cincinnati,-3,Baltimore
9/10 1:00 ET,Pittsburgh,-10,At Cleveland
9/10 4:05 ET,At LA Rams,-3.5,Indianapolis
9/10 4:25 ET,At Green Bay,-2.5,Seattle
9/10 4:25 ET,Carolina,-4.5,At San Francisco
9/10 8:30 ET,At Dallas,-6,NY Giants
