Date & Time,Favorite,Spread,Underdog
9/14 8:25 ET,At Cincinnati,-5.5,Houston
9/17 1:00 ET,Tennessee,-1.5,At Jacksonville
9/17 1:00 ET,At Baltimore,-7.5,Cleveland
9/17 1:00 ET,At Carolina,-6.5,Buffalo
9/17 1:00 ET,New England,-6,At New Orleans
9/17 1:00 ET,Arizona,-7,At Indianapolis
9/17 1:00 ET,At Kansas City,-4.5,Philadelphia
9/17 1:00 ET,At Pittsburgh,-8.5,Minnesota
9/17 1:00 ET,At Tampa Bay,-7,Chicago
9/17 4:05 ET,At LA Chargers,-3.5,Miami
9/17 4:05 ET,At Oakland,-14,NY Jets
9/17 4:25 ET,At LA Rams,-3,Washington
9/17 4:25 ET,Dallas,-2.5,At Denver
9/17 4:25 ET,At Seattle,-13.5,San Francisco
9/17 8:30 ET,At Atlanta,-3,Green Bay
