Date & Time,Favorite,Spread,Underdog
10/9 8:25 ET,Indianapolis,-2.5,At Houston
10/12 1:00 ET,Denver,-10,At NY Jets
10/12 1:00 ET,At Cleveland,-2,Pittsburgh
10/12 1:00 ET,At Tennessee,-4,Jacksonville
10/12 4:25 ET,At Atlanta,-3.5,Chicago
10/12 1:00 ET,Green Bay,-2,At Miami
10/12 1:00 ET,At Minnesota,-1.5,Detroit
10/12 1:00 ET,At Cincinnati,-7,Carolina
10/12 1:00 ET,At Buffalo,PK,New England
10/12 1:00 ET,Baltimore,-3.5,At Tampa Bay
10/12 4:05 ET,San Diego,-7.5,At Oakland
10/12 4:25 ET,At Seattle,-9.5,Dallas
10/12 4:25 ET,At Arizona,-5.5,Washington
10/12 8:30 ET,At Philadelphia,-1.5,NY Giants
