Date & Time,Favorite,Spread,Underdog
9/18 8:25 ET,At Atlanta,-6.5,Tampa Bay
9/21 1:00 ET,At Buffalo,-2.5,San Diego
9/21 1:00 ET,Dallas,-2,At St. Louis
9/21 1:00 ET,At Philadelphia,-4,Washington
9/21 1:00 ET,At NY Giants,-1,Houston
9/21 1:00 ET,At New Orleans,-10,Minnesota
9/21 1:00 ET,At Cincinnati,-6.5,Tennessee
9/21 1:00 ET,Baltimore,-1.5,At Cleveland
9/21 1:00 ET,At Detroit,-1.5,Green Bay
9/21 1:00 ET,Indianapolis,-6.5,At Jacksonville
9/21 1:00 ET,At New England,-14,Oakland
9/21 4:05 ET,San Francisco,-3,At Arizona
9/21 4:25 ET,At Seattle,-4.5,Denver
9/21 4:25 ET,At Miami,-5.5,Kansas City
9/21 8:30 ET,At Carolina,-3,Pittsburgh
