Date & Time,Favorite,Spread,Underdog
10/13 8:25 ET,Denver,-3,At San Diego
10/16 1:00 ET,At New England,-7.5,Cincinnati
10/16 1:00 ET,At NY Giants,-3.5,Baltimore
10/16 1:00 ET,Carolina,-3,At New Orleans
10/16 1:00 ET,Pittsburgh,-7.5,At Miami
10/16 1:00 ET,At Chicago,-2.5,Jacksonville
10/16 1:00 ET,At Buffalo,-7.5,San Francisco
10/16 1:00 ET,At Detroit,-3,Los Angeles
10/16 1:00 ET,At Tennessee,-7.5,Cleveland
10/16 1:00 ET,Philadelphia,-3,At Washington
10/16 4:05 ET,Kansas City,-1.5,At Oakland
10/16 4:25 ET,At Seattle,-7,Atlanta
10/16 4:25 ET,At Green Bay,-5,Dallas
10/16 8:30 ET,At Houston,-3,Indianapolis
