Date & Time,Favorite,Spread,Underdog
11/10 8:25 ET,At Baltimore,-7.5,Cleveland
11/13 1:00 ET,At Jacksonville,-3,Houston
11/13 1:00 ET,At Carolina,-3,Kansas City
11/13 1:00 ET,At New Orleans,-3,Denver
11/13 1:00 ET,Los Angeles,-1,At NY Jets
11/13 1:00 ET,At Philadelphia,-1.5,Atlanta
11/13 1:00 ET,At Washington,-2.5,Minnesota
11/13 1:00 ET,Green Bay,-3,At Tennessee
11/13 1:00 ET,Chicago,-2.5,At Tampa Bay
11/13 4:05 ET,At San Diego,-4.5,Miami
11/13 4:25 ET,At Arizona,-14,San Francisco
11/13 4:25 ET,At Pittsburgh,-3,Dallas
11/13 8:30 ET,At New England,-7.5,Seattle
