drive,fds,result,penyds,ydsgained,numplays,postime
11,1,Field Goal,0,76,6,2:20
10,2,Punt,-5,24,10,5:11
13,1,Touchdown,-10,88,4,0:54
12,0,Punt,0,3,5,0:58
15,2,Field Goal,0,56,10,4:35
14,3,Punt,5,29,10,3:21
17,1,Field Goal,-5,48,9,3:11
16,3,Downs,0,50,11,3:15
19,0,Punt,-10,12,8,1:49
18,4,Touchdown,13,67,11,1:44
20,0,End of Game,0,-1,2,0:17
1,3,Punt,0,35,11,5:46
3,0,Punt,0,-4,5,1:10
2,5,Field Goal,10,62,18,7:50
5,1,Punt,-5,19,7,2:27
4,3,Field Goal,5,31,13,3:55
7,3,Field Goal,-10,64,17,3:32
6,2,Punt,0,44,10,5:05
9,1,Punt,-5,25,8,2:25
8,0,End of Half,0,1,2,0:15
