drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
9,2028,0,00:04,,0,2,0,MIN 35,0,MIN,KICKOFF
18,3811,1,01:23,,10,4,-1,MIN 44,0,GB,
18,3854,0,00:00,,0,4,-3,,0,,
18,3833,2,00:42,,11,4,-3,MIN 45,0,GB,
18,3788,0,01:24,,0,4,-3,MIN 35,0,MIN,KICKOFF
6,1507,0,03:38,,0,2,80,MIN 2,1,GB,XP
6,1461,2,04:34,,12,2,4,GB 18,0,GB,
6,1423,0,05:09,,0,2,0,MIN 35,0,MIN,KICKOFF
6,1439,1,05:09,,10,2,-2,GB 20,0,GB,
6,1486,3,03:49,,6,2,80,GB 24,1,GB,TD
14,3061,1,10:50,,10,4,39,MIN 19,0,GB,
14,3105,3,09:18,,1,4,51,MIN 10,0,GB,
14,3216,4,06:12,,2,4,53,MIN 2,1,GB,FG
14,3083,2,10:04,,7,4,45,MIN 16,0,GB,
14,3152,0,07:43,,0,4,54,,0,,TIMEOUT
14,3191,3,07:01,,1,4,53,MIN 1,0,GB,
14,3036,3,11:23,,1,4,36,MIN 46,0,GB,
14,3169,2,07:43,,1,4,54,MIN 1,0,GB,
14,3127,1,08:30,,4,4,54,MIN 4,0,GB,
14,2989,1,12:46,,10,4,2,GB 45,0,GB,
14,3011,2,12:03,,8,4,9,GB 47,0,GB,
7,1552,1,03:38,,10,2,14,MIN 20,0,MIN,
7,1536,0,03:38,,0,2,0,GB 40,0,GB,KICKOFF
7,1681,4,01:49,,4,2,20,MIN 40,1,MIN,TD
7,1660,0,01:49,,0,2,20,,0,,TIMEOUT
7,1599,2,02:28,,10,2,16,MIN 34,0,MIN,
7,1577,1,03:07,,10,2,14,MIN 34,0,MIN,
7,1638,3,02:00,,8,2,20,MIN 36,0,MIN,
8,1719,0,01:30,,0,2,0,GB 35,0,GB,KICKOFF
8,2011,0,00:04,,0,2,77,GB 2,1,MIN,XP
8,1763,2,01:00,,16,2,7,MIN 17,0,MIN,
8,1919,3,00:21,,1,2,63,GB 40,0,MIN,PENALTY
8,1902,0,00:21,,0,2,37,,0,,TIMEOUT
8,1988,2,00:10,,4,2,77,GB 8,1,MIN,TD
8,1788,3,00:42,,3,2,11,MIN 30,0,MIN,
8,1877,2,00:29,,10,2,37,GB 49,0,MIN,
8,1743,1,01:23,,10,2,11,MIN 23,0,MIN,
8,1830,1,00:38,,10,2,28,MIN 34,0,MIN,
8,1813,0,00:38,,0,2,11,,0,,TIMEOUT
8,1855,1,00:33,,10,2,28,GB 49,0,MIN,
8,1953,1,00:14,,10,2,69,GB 14,0,MIN,
10,2401,2,07:52,,2,3,76,MIN 4,0,GB,
10,2174,1,13:24,,10,3,40,MIN 49,0,GB,
10,2067,0,15:00,,0,3,0,MIN 35,0,MIN,KICKOFF
10,2086,1,15:00,,10,3,9,GB 20,0,GB,
10,2321,2,09:53,,3,3,54,MIN 27,0,GB,
10,2228,2,12:38,,16,3,30,GB 45,0,GB,
10,2462,0,06:50,,0,3,80,MIN 2,1,GB,XP
10,2153,1,13:51,,10,3,31,GB 40,0,GB,
10,2300,1,10:38,,10,3,53,MIN 34,0,GB,
10,2363,0,08:36,,0,3,68,,0,,TIMEOUT
10,2423,3,07:48,,2,3,79,MIN 4,0,GB,
10,2444,1,06:53,,1,3,80,MIN 1,1,GB,TD
10,2195,2,12:49,,1,3,25,MIN 40,0,GB,PENALTY
10,2276,4,11:08,,3,3,46,MIN 42,0,GB,
10,2380,1,08:36,,10,3,76,MIN 12,0,GB,
10,2342,3,09:10,,2,3,68,MIN 26,0,GB,
10,2129,3,14:30,,1,3,20,GB 29,0,GB,
10,2252,3,11:53,,11,3,38,50,0,GB,
10,2107,2,14:31,,1,3,9,GB 29,0,GB,
12,2827,1,15:00,,10,4,49,MIN 24,0,GB,
12,2744,2,01:44,,8,3,24,GB 39,0,GB,
12,2847,2,14:23,,11,4,74,MIN 25,1,GB,TD
12,2678,2,04:06,,21,3,-6,GB 15,0,GB,
12,2865,0,14:16,,0,4,74,MIN 2,1,GB,XP
12,2723,1,02:28,,10,3,13,GB 37,0,GB,
12,2765,1,01:02,,10,3,35,50,0,GB,
12,2624,1,04:48,,10,3,-1,GB 26,0,GB,
12,2786,1,00:25,,10,3,50,MIN 39,0,GB,
12,2645,2,04:12,,11,3,-11,GB 25,0,GB,PENALTY
12,2699,3,03:23,,16,3,11,GB 20,0,GB,
16,3558,4,02:57,,9,4,16,MIN 27,1,GB,FG
16,3518,3,03:03,,10,4,16,MIN 28,0,GB,
16,3587,0,03:03,,0,4,16,,0,,TIMEOUT
16,3449,2,03:56,,11,4,15,MIN 44,0,GB,
16,3496,2,03:08,,14,4,15,MIN 32,0,GB,
16,3427,1,04:41,,10,4,-1,MIN 43,0,GB,
16,3392,0,04:42,,0,4,16,MIN 35,0,MIN,KICKOFF
16,3540,0,02:58,,0,4,16,,0,,TIMEOUT
16,3474,1,03:14,,10,4,11,MIN 28,0,GB,
11,2478,0,06:50,,0,3,0,GB 35,0,GB,KICKOFF
11,2514,2,06:17,,8,3,-8,MIN 22,0,MIN,PENALTY
11,2493,1,06:50,,10,3,2,MIN 20,0,MIN,
11,2568,3,05:26,,9,3,-6,MIN 21,0,MIN,
11,2547,2,05:59,,18,3,1,MIN 12,0,MIN,
11,2587,4,04:59,,16,3,-6,MIN 14,0,MIN,PUNT
3,633,4,04:01,,1,1,21,MIN 33,0,MIN,PUNT
3,520,2,06:44,,4,1,12,MIN 18,0,MIN,
3,542,1,06:09,,10,1,7,MIN 24,0,MIN,PENALTY
3,565,1,05:59,,15,1,7,MIN 19,0,MIN,
3,587,2,05:19,,15,1,12,MIN 19,0,MIN,
3,609,3,04:41,,10,1,21,MIN 24,0,MIN,
3,475,0,07:23,,0,1,0,GB 35,0,GB,KICKOFF
3,498,1,07:16,,10,1,6,MIN 12,0,MIN,
17,3681,0,01:59,,0,4,5,,0,,
17,3578,0,02:53,,0,4,0,GB 35,0,GB,KICKOFF
17,3633,2,02:26,,8,4,5,MIN 29,0,MIN,
17,3731,1,01:51,,10,4,54,GB 24,0,MIN,
17,3658,3,02:07,,5,4,5,MIN 32,0,MIN,
17,3753,2,01:31,,5,4,73,GB 19,1,MIN,TD
17,3698,4,01:59,,5,4,49,MIN 32,0,MIN,PENALTY
17,3608,1,02:49,,10,4,2,MIN 27,0,MIN,
17,3771,0,01:24,,0,4,73,GB 2,1,MIN,XP
4,972,4,13:00,,1,2,54,MIN 35,0,GB,
4,1063,3,10:59,,9,2,70,MIN 10,0,GB,
4,801,1,00:32,,10,1,31,GB 44,0,GB,
4,679,2,03:12,,3,1,7,GB 25,0,GB,
4,1019,1,11:47,,10,2,72,MIN 11,0,GB,
4,823,2,00:07,,5,1,33,GB 49,0,GB,
4,776,3,01:13,,3,1,26,GB 39,0,GB,
4,931,3,13:40,,1,2,47,MIN 35,0,GB,
4,884,1,15:00,,10,2,45,MIN 44,0,GB,
4,726,1,02:29,,10,1,18,GB 32,0,GB,
4,657,1,03:53,,10,1,7,GB 18,0,GB,
4,954,0,13:00,,0,2,47,,0,,TIMEOUT
4,997,1,12:24,,10,2,71,MIN 28,0,GB,
4,751,2,01:50,,6,1,21,GB 36,0,GB,
4,701,3,03:06,,3,1,14,GB 25,0,GB,
4,861,3,15:00,,3,2,38,MIN 49,0,GB,PENALTY
4,1041,2,11:05,,9,2,72,MIN 10,0,GB,
4,1083,4,10:33,,11,2,70,MIN 12,1,GB,FG
4,910,2,14:25,,3,2,47,MIN 37,0,GB,
2,102,1,14:41,,10,1,4,GB 10,0,GB,
2,274,2,11:10,,9,1,53,MIN 45,0,GB,
2,412,2,08:11,,11,1,79,MIN 20,0,GB,
2,193,2,12:21,,15,1,26,GB 20,0,GB,PENALTY
2,437,3,07:28,,2,1,90,MIN 11,1,GB,TD
2,252,1,11:37,,10,1,90,MIN 46,0,GB,
2,321,1,10:04,,10,1,59,MIN 35,0,GB,
