drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
9,1623,4,03:36,,2,2,8,NO 22,0,NO,PUNT
9,1598,3,04:09,,1,2,8,NO 23,0,NO,
9,1553,1,05:18,,10,2,2,NO 14,0,NO,
9,1574,2,04:45,,8,2,9,NO 16,0,NO,
24,4147,0,01:22,,0,4,0,NO 35,0,NO,KICKOFF
24,4190,2,00:40,,11,4,-2,NO 47,0,DEN,
24,4211,0,00:00,,0,4,-2,,0,,
24,4169,1,01:21,,10,4,-1,NO 46,0,DEN,
10,1703,3,02:11,,1,2,11,DEN 39,0,DEN,
10,1724,0,02:00,,0,2,11,,0,,
10,1849,3,01:07,,9,2,39,NO 40,0,DEN,
10,1825,2,01:12,,10,2,30,NO 41,0,DEN,
10,1661,1,03:27,,10,2,2,DEN 30,0,DEN,
10,1803,1,01:18,,10,2,29,NO 41,0,DEN,
10,1682,2,02:52,,8,2,9,DEN 32,0,DEN,
10,1877,1,00:36,,10,2,39,NO 31,0,DEN,INT
10,1741,1,02:00,,10,2,20,DEN 41,0,DEN,
10,1762,2,01:30,,1,2,29,50,0,DEN,
10,1786,0,01:18,,0,2,29,,0,,TIMEOUT
20,3712,4,03:27,,4,4,43,NO 10,1,DEN,FG
20,3598,1,04:53,,10,4,40,NO 16,0,DEN,
20,3506,2,06:42,,8,4,37,NO 37,0,DEN,
20,3528,3,06:39,,8,4,40,NO 37,0,DEN,
20,3619,0,04:45,,0,4,40,,0,,TIMEOUT
20,3442,1,07:41,,10,4,43,DEN 47,0,DEN,PENALTY
20,3552,1,06:01,,10,4,13,NO 28,0,DEN,
20,3640,2,04:45,,7,4,45,NO 13,0,DEN,PENALTY
20,3474,1,07:16,,10,4,11,NO 39,0,DEN,
20,3688,3,04:04,,6,4,43,NO 12,0,DEN,
20,3573,2,05:23,,8,4,41,NO 26,0,DEN,
20,3663,2,04:45,,2,4,41,NO 8,0,DEN,
6,998,1,14:53,,10,2,0,NO 39,0,DEN,
6,1041,3,14:12,,9,2,7,NO 38,0,DEN,
6,1020,2,14:47,,10,2,1,NO 39,0,DEN,
6,1065,4,13:48,,3,2,7,NO 32,1,DEN,FG
18,3122,1,13:29,,10,4,1,NO 27,0,DEN,
18,3319,0,09:37,,0,4,27,NO 15,1,DEN,XP
18,3227,1,10:47,,2,4,24,NO 2,0,DEN,
18,3199,2,11:28,,8,4,25,NO 10,0,DEN,
18,3276,0,09:41,,0,4,25,,0,,TIMEOUT
18,3252,2,10:13,,3,4,25,NO 3,0,DEN,
18,3150,2,12:44,,9,4,17,NO 26,0,DEN,
18,3297,3,09:41,,2,4,27,NO 2,1,DEN,TD
18,3174,1,12:06,,10,4,17,NO 12,0,DEN,
1,128,2,13:16,,6,1,17,DEN 44,0,NO,
1,58,1,14:54,,10,1,8,NO 39,0,NO,
1,107,1,13:55,,10,1,17,DEN 48,0,NO,
1,150,3,13:11,,6,1,12,DEN 44,0,NO,PENALTY
1,195,4,13:06,,11,1,12,DEN 49,0,NO,PUNT
1,173,3,13:11,,11,1,12,DEN 49,0,NO,
1,82,2,14:25,,2,1,13,NO 47,0,NO,
1,36,0,15:00,,0,1,0,DEN 35,0,DEN,KICKOFF
5,971,1,15:00,,10,2,0,NO 39,0,NO,INT
13,2335,1,09:48,,10,3,50,NO 40,0,NO,
13,2416,0,08:30,,0,3,90,DEN 15,1,NO,XP
13,2359,1,09:22,,10,3,87,DEN 40,0,NO,
13,2237,1,12:20,,10,3,1,NO 10,0,NO,
13,2286,3,11:10,,4,3,20,NO 16,0,NO,
13,2261,2,11:47,,9,3,6,NO 11,0,NO,
13,2387,1,08:35,,3,3,90,DEN 3,1,NO,TD
13,2310,1,10:36,,10,3,30,NO 30,0,NO,
21,3736,0,03:23,,0,4,0,DEN 35,0,DEN,KICKOFF
21,3789,2,03:15,,10,4,5,NO 13,0,NO,FUMBLE
21,3767,1,03:20,,10,4,0,NO 13,0,NO,
23,4095,1,01:30,,10,4,75,DEN 32,1,NO,TD
23,3984,2,02:45,,10,4,29,NO 25,0,NO,
23,4071,3,02:00,,2,4,43,DEN 38,0,NO,
23,4008,1,02:39,,10,4,34,DEN 46,0,NO,
23,3947,0,02:50,,0,4,0,DEN 35,0,DEN,KICKOFF
23,4120,0,01:22,,0,4,75,DEN 15,1,NO,XPB
23,4033,2,02:10,,5,4,37,DEN 41,0,NO,
23,4054,0,02:00,,0,4,37,,0,,
23,3962,1,02:50,,10,4,0,NO 25,0,NO,
11,2078,1,00:02,,10,2,50,DEN 12,1,NO,FG
11,1980,1,00:13,,10,2,46,DEN 22,0,NO,
11,1904,1,00:29,,10,2,24,NO 38,0,NO,
11,2040,2,00:13,,4,2,50,DEN 16,0,NO,
11,2019,0,00:13,,0,2,46,,0,,TIMEOUT
11,1928,1,00:23,,10,2,40,DEN 38,0,NO,
11,1956,0,00:19,,0,2,40,,0,,TIMEOUT
11,2061,0,00:02,,0,2,50,,0,,TIMEOUT
14,2632,2,05:50,,9,3,31,NO 44,0,DEN,
14,2473,2,08:23,,10,3,0,DEN 25,0,DEN,
14,2654,3,05:46,,9,3,31,NO 44,0,DEN,INT
14,2519,1,07:39,,10,3,18,DEN 38,0,DEN,
14,2583,3,07:00,,5,3,30,DEN 43,0,DEN,
14,2451,1,08:30,,10,3,18,DEN 25,0,DEN,
14,2495,3,08:19,,10,3,13,DEN 25,0,DEN,
14,2544,2,07:04,,5,3,18,DEN 43,0,DEN,
14,2566,0,07:00,,0,3,18,,0,,TIMEOUT
14,2436,0,08:30,,0,3,0,NO 35,0,NO,KICKOFF
14,2607,1,06:28,,10,3,31,NO 45,0,DEN,
8,1347,1,09:25,,10,2,21,DEN 29,0,DEN,
8,1421,2,07:27,,9,2,44,DEN 45,0,DEN,
8,1445,1,06:47,,10,2,45,NO 45,0,DEN,
8,1492,3,06:03,,9,2,39,NO 44,0,DEN,
8,1323,3,10:01,,9,2,18,DEN 12,0,DEN,
8,1527,4,05:26,,15,2,39,50,0,DEN,PUNT
8,1302,2,10:37,,10,2,1,DEN 11,0,DEN,
8,1470,2,06:08,,9,2,39,NO 44,0,DEN,
8,1396,1,08:11,,10,2,34,DEN 44,0,DEN,
8,1372,2,08:53,,7,2,39,DEN 32,0,DEN,
8,1276,1,10:42,,10,2,0,DEN 11,0,DEN,
19,3397,3,08:31,,5,4,-5,NO 30,0,NO,
19,3416,4,07:54,,15,4,-5,NO 20,0,NO,PUNT
19,3339,0,09:37,,0,4,0,DEN 35,0,DEN,KICKOFF
19,3376,2,09:05,,8,4,5,NO 27,0,NO,
19,3355,1,09:37,,10,4,2,NO 25,0,NO,
22,3927,4,02:55,,8,4,2,NO 18,1,DEN,FG
22,3825,1,03:08,,10,4,0,NO 20,0,DEN,
22,3867,2,03:04,,10,4,2,NO 20,0,DEN,
22,3888,0,03:00,,0,4,2,,0,,TIMEOUT
22,3905,3,03:00,,8,4,2,NO 18,0,DEN,
22,3850,0,03:04,,0,4,0,,0,,TIMEOUT
12,2111,0,15:00,,0,3,0,NO 35,0,NO,KICKOFF
12,2150,1,14:31,,10,3,24,DEN 40,0,DEN,
12,2126,1,15:00,,10,3,15,DEN 25,0,DEN,
12,2196,3,13:10,,1,3,24,DEN 49,0,DEN,
12,2175,2,13:52,,1,3,24,DEN 49,0,DEN,
12,2217,4,12:27,,1,3,24,DEN 49,0,DEN,PUNT
16,2919,2,01:24,,6,3,38,NO 35,0,DEN,
16,2821,1,03:59,,10,3,38,DEN 25,0,DEN,
16,2806,0,03:59,,0,3,0,NO 35,0,NO,KICKOFF
16,3044,4,14:23,,15,4,51,NO 24,0,DEN,FGM
16,2938,3,00:42,,8,3,56,NO 37,0,DEN,
16,2962,1,00:06,,10,3,57,NO 19,0,DEN,
16,2987,0,,,0,3,57,,0,,
16,2870,2,02:39,,1,3,36,NO 48,0,DEN,
16,2845,1,03:24,,10,3,27,DEN 43,0,DEN,
16,3025,3,14:57,,9,4,51,NO 18,0,DEN,
16,3003,2,15:00,,9,4,57,NO 18,0,DEN,
16,2894,1,02:03,,10,3,40,NO 39,0,DEN,
