drive,fds,result,penyds,ydsgained,numplays,postime
9,1,Punt,24,-1,9,1:14
24,0,End of Game,0,-3,4,1:35
10,0,End of Half,0,-1,2,0:30
20,0,Punt,0,2,4,1:35
6,2,Field Goal,0,45,10,4:52
18,0,Punt,0,5,4,1:54
1,6,Interception,-7,74,16,6:12
5,5,Touchdown,0,77,15,5:31
13,0,Punt,0,4,4,1:36
21,0,Punt,-10,12,5,1:07
23,0,Interception,0,0,1,0:09
11,1,Punt,0,14,8,3:00
14,3,Touchdown,0,64,7,2:13
8,2,Field Goal,5,25,9,2:15
19,0,Interception,0,2,3,0:58
22,1,Punt,-10,20,12,2:07
12,0,Punt,0,4,4,1:19
16,4,Touchdown,0,80,12,4:13
7,2,Missed FG,-10,57,8,2:35
3,1,Punt,-5,29,6,2:36
17,1,Punt,0,22,8,3:22
4,0,Punt,-10,10,5,2:24
2,0,Punt,0,6,4,1:51
15,5,Touchdown,0,75,13,4:52
