drive,fds,result,penyds,ydsgained,numplays,postime
9,1,End of Half,0,10,6,1:46
10,0,Interception,0,4,4,1:33
20,1,Punt,0,9,5,1:03
6,1,Punt,0,13,7,3:14
18,1,Touchdown,0,38,2,0:07
1,1,Punt,0,13,8,2:30
5,0,Punt,0,4,5,1:36
13,6,Field Goal,0,78,15,8:16
21,0,Punt,0,7,5,1:04
23,0,End of Game,0,-1,2,0:01
11,2,Touchdown,-5,48,8,3:00
14,1,Downs,0,25,8,3:02
8,2,Punt,0,36,10,3:41
19,2,Missed FG,15,28,6,2:53
22,2,Missed FG,17,19,11,1:59
12,0,Punt,0,1,5,2:11
16,4,Touchdown,0,43,7,2:27
7,5,Touchdown,0,56,11,4:38
3,5,Touchdown,0,70,14,6:05
17,0,Fumble,0,8,3,1:03
4,4,Touchdown,40,35,13,4:55
2,1,Punt,-5,26,7,1:35
15,0,Interception,0,0,3,1:21
