drive,fds,result,penyds,ydsgained,numplays,postime
24,1,End of Game,5,3,7,1:46
20,4,Touchdown,0,76,10,4:18
21,2,Downs,0,39,10,3:09
22,1,Punt,-10,32,10,2:43
23,2,Downs,0,36,9,1:42
1,2,Punt,-15,37,11,4:16
3,4,Touchdown,8,33,9,2:42
2,0,Punt,0,7,4,1:34
5,1,Punt,0,27,5,1:25
4,2,Punt,5,22,7,2:16
7,0,Punt,0,4,5,1:08
6,0,Punt,-10,9,5,1:54
9,5,Touchdown,-10,75,11,4:56
8,1,Punt,0,15,6,1:50
11,0,Punt,0,8,4,2:12
10,1,Punt,-15,38,8,3:01
13,0,End of Half,0,0,2,0:02
12,4,Field Goal,0,44,16,2:44
15,0,Interception,0,3,3,1:04
14,2,Missed FG,0,47,9,4:01
17,0,Punt,0,7,5,0:45
16,1,Field Goal,0,17,6,2:16
19,4,Touchdown,2,89,8,1:47
18,3,Punt,6,37,14,6:29
