drive,fds,result,penyds,ydsgained,numplays,postime
24,1,Touchdown,0,23,6,1:00
25,4,Touchdown,0,71,6,1:17
26,0,End of Game,0,-1,3,0:30
20,1,Punt,0,32,7,3:35
21,2,Punt,-5,35,10,3:46
22,0,Punt,0,8,7,1:02
23,0,Downs,0,2,5,1:37
1,0,Interception,0,2,4,1:02
3,1,Punt,0,19,6,2:37
2,1,Fumble,0,20,2,0:40
5,1,Punt,-10,6,8,4:26
4,1,Missed FG,0,37,7,2:20
7,0,Punt,0,0,5,0:34
6,5,Touchdown,7,78,11,4:03
9,0,Downs,0,9,4,1:49
8,0,Punt,-5,10,6,2:10
11,1,Punt,-5,24,7,2:42
10,1,Punt,-10,16,7,3:35
13,2,Interception,0,32,6,0:32
12,8,Touchdown,15,80,13,3:30
15,0,Punt,0,3,6,2:08
14,5,Touchdown,0,80,14,6:25
17,1,Interception,0,19,4,1:30
16,0,Punt,0,7,4,1:36
19,4,Touchdown,0,56,11,2:29
18,2,Field Goal,0,49,8,3:05
